anzsco_code,raw_title,title_type_code,title_type,jurisdiction_scope,occupation_title,normalised_title,major_group_code,sub_major_group_code,minor_group_code,unit_group_code,major_group_label,preferred_occupation_title,preferred_title_type,preferred_jurisdiction_scope,is_preferred_title
111111,Chief Executive or Managing Director (P),P,principal,Generic,Chief Executive or Managing Director,chief executive or managing director,1,11,111,1111,Managers,Chief Executive or Managing Director,principal,Generic,True
111111,Chief Executive Officer (A),A,alternative,Generic,Chief Executive Officer,chief executive officer,1,11,111,1111,Managers,Chief Executive or Managing Director,principal,Generic,False
111111,Director-General (S),S,specialisation,Generic,Director-General,director general,1,11,111,1111,Managers,Chief Executive or Managing Director,principal,Generic,False
111111,Executive Director (S),S,specialisation,Generic,Executive Director,executive director,1,11,111,1111,Managers,Chief Executive or Managing Director,principal,Generic,False
111111,Secretary (Government Department) (Aus) (S),S,specialisation,Australia,Secretary (Government Department),secretary government department,1,11,111,1111,Managers,Chief Executive or Managing Director,principal,Generic,False
111211,Corporate General Manager (P),P,principal,Generic,Corporate General Manager,corporate general manager,1,11,111,1112,Managers,Corporate General Manager,principal,Generic,True
111211,Chief Operating Officer (A),A,alternative,Generic,Chief Operating Officer,chief operating officer,1,11,111,1112,Managers,Corporate General Manager,principal,Generic,False
111211,Assistant Commissioner (Police) (S),S,specialisation,Generic,Assistant Commissioner (Police),assistant commissioner police,1,11,111,1112,Managers,Corporate General Manager,principal,Generic,False
111211,Hospital Administrator (S),S,specialisation,Generic,Hospital Administrator,hospital administrator,1,11,111,1112,Managers,Corporate General Manager,principal,Generic,False
111211,Managing Editor (S),S,specialisation,Generic,Managing Editor,managing editor,1,11,111,1112,Managers,Corporate General Manager,principal,Generic,False
111211,Trade Union Secretary (S),S,specialisation,Generic,Trade Union Secretary,trade union secretary,1,11,111,1112,Managers,Corporate General Manager,principal,Generic,False
111212,Defence Force Senior Officer (P),P,principal,Generic,Defence Force Senior Officer,defence force senior officer,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,True
111212,Air Force Senior Officer (A),A,alternative,Generic,Air Force Senior Officer,air force senior officer,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Army Senior Officer (A),A,alternative,Generic,Army Senior Officer,army senior officer,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Navy Senior Officer (A),A,alternative,Generic,Navy Senior Officer,navy senior officer,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Admiral (Navy) (S),S,specialisation,Generic,Admiral (Navy),admiral navy,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Air Chief Marshal (Air Force) (S),S,specialisation,Generic,Air Chief Marshal (Air Force),air chief marshal air force,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Air Commodore (Air Force) (S),S,specialisation,Generic,Air Commodore (Air Force),air commodore air force,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Air Marshal (Air Force) (S),S,specialisation,Generic,Air Marshal (Air Force),air marshal air force,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Air Vice Marshal (Air Force) (S),S,specialisation,Generic,Air Vice Marshal (Air Force),air vice marshal air force,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Brigadier (Army) (S),S,specialisation,Generic,Brigadier (Army),brigadier army,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Captain (Navy) (S),S,specialisation,Generic,Captain (Navy),captain navy,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Colonel (Army) (S),S,specialisation,Generic,Colonel (Army),colonel army,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Commander (Navy) (S),S,specialisation,Generic,Commander (Navy),commander navy,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Commodore (Navy) (S),S,specialisation,Generic,Commodore (Navy),commodore navy,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,General (Army) (S),S,specialisation,Generic,General (Army),general army,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Group Captain (Air Force) (S),S,specialisation,Generic,Group Captain (Air Force),group captain air force,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Lieutenant Colonel (Army) (S),S,specialisation,Generic,Lieutenant Colonel (Army),lieutenant colonel army,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Lieutenant General (Army) (S),S,specialisation,Generic,Lieutenant General (Army),lieutenant general army,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Major General (Army) (S),S,specialisation,Generic,Major General (Army),major general army,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Rear Admiral (Navy) (S),S,specialisation,Generic,Rear Admiral (Navy),rear admiral navy,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Vice Admiral (Navy) (S),S,specialisation,Generic,Vice Admiral (Navy),vice admiral navy,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111212,Wing Commander (Air Force) (S),S,specialisation,Generic,Wing Commander (Air Force),wing commander air force,1,11,111,1112,Managers,Defence Force Senior Officer,principal,Generic,False
111311,Local Government Legislator (P),P,principal,Generic,Local Government Legislator,local government legislator,1,11,111,1113,Managers,Local Government Legislator,principal,Generic,True
111311,Alderman (Aus) (A),A,alternative,Australia,Alderman,alderman,1,11,111,1113,Managers,Local Government Legislator,principal,Generic,False
111311,Councillor (A),A,alternative,Generic,Councillor,councillor,1,11,111,1113,Managers,Local Government Legislator,principal,Generic,False
111311,Community Board Member (NZ) (S),S,specialisation,New Zealand,Community Board Member,community board member,1,11,111,1113,Managers,Local Government Legislator,principal,Generic,False
111311,Mayor (S),S,specialisation,Generic,Mayor,mayor,1,11,111,1113,Managers,Local Government Legislator,principal,Generic,False
111312,Member of Parliament (P),P,principal,Generic,Member of Parliament,member of parliament,1,11,111,1113,Managers,Member of Parliament,principal,Generic,True
111312,Parliamentarian (A),A,alternative,Generic,Parliamentarian,parliamentarian,1,11,111,1113,Managers,Member of Parliament,principal,Generic,False
111312,Chief Minister (Aus) (S),S,specialisation,Australia,Chief Minister,chief minister,1,11,111,1113,Managers,Member of Parliament,principal,Generic,False
111312,Government Minister (S),S,specialisation,Generic,Government Minister,government minister,1,11,111,1113,Managers,Member of Parliament,principal,Generic,False
111312,Member of the Legislative Assembly (Aus) (S),S,specialisation,Australia,Member of the Legislative Assembly,member of the legislative assembly,1,11,111,1113,Managers,Member of Parliament,principal,Generic,False
111312,Member of the Legislative Council (Aus) (S),S,specialisation,Australia,Member of the Legislative Council,member of the legislative council,1,11,111,1113,Managers,Member of Parliament,principal,Generic,False
111312,Premier (Aus) (S),S,specialisation,Australia,Premier,premier,1,11,111,1113,Managers,Member of Parliament,principal,Generic,False
111312,Prime Minister (S),S,specialisation,Generic,Prime Minister,prime minister,1,11,111,1113,Managers,Member of Parliament,principal,Generic,False
111312,Senator (Aus) (S),S,specialisation,Australia,Senator,senator,1,11,111,1113,Managers,Member of Parliament,principal,Generic,False
111399,Legislators nec (P),P,principal,Generic,Legislators nec,legislators nec,1,11,111,1113,Managers,Legislators nec,principal,Generic,True
111399,Aboriginal Community Council Member (Aus) (N),N,nec_category,Australia,Aboriginal Community Council Member,aboriginal community council member,1,11,111,1113,Managers,Legislators nec,principal,Generic,False
111399,"Councillor, Aboriginal Land Council (Aus) (N)",N,nec_category,Australia,"Councillor, Aboriginal Land Council",councillor aboriginal land council,1,11,111,1113,Managers,Legislators nec,principal,Generic,False
121111,Aquaculture Farmer (P),P,principal,Generic,Aquaculture Farmer,aquaculture farmer,1,12,121,1211,Managers,Aquaculture Farmer,principal,Generic,True
121111,Seafood Farmer (A),A,alternative,Generic,Seafood Farmer,seafood farmer,1,12,121,1211,Managers,Aquaculture Farmer,principal,Generic,False
121111,Fish Farmer (S),S,specialisation,Generic,Fish Farmer,fish farmer,1,12,121,1211,Managers,Aquaculture Farmer,principal,Generic,False
121111,Hatchery Manager (Fish) (S),S,specialisation,Generic,Hatchery Manager (Fish),hatchery manager fish,1,12,121,1211,Managers,Aquaculture Farmer,principal,Generic,False
121111,Mussel Farmer (S),S,specialisation,Generic,Mussel Farmer,mussel farmer,1,12,121,1211,Managers,Aquaculture Farmer,principal,Generic,False
121111,Oyster Farmer (S),S,specialisation,Generic,Oyster Farmer,oyster farmer,1,12,121,1211,Managers,Aquaculture Farmer,principal,Generic,False
121211,Cotton Grower (P),P,principal,Generic,Cotton Grower,cotton grower,1,12,121,1212,Managers,Cotton Grower,principal,Generic,True
121212,Flower Grower (P),P,principal,Generic,Flower Grower,flower grower,1,12,121,1212,Managers,Flower Grower,principal,Generic,True
121212,Floriculturist (A),A,alternative,Generic,Floriculturist,floriculturist,1,12,121,1212,Managers,Flower Grower,principal,Generic,False
121212,Market Gardener (Flowers) (Aus) (S),S,specialisation,Australia,Market Gardener (Flowers),market gardener flowers,1,12,121,1212,Managers,Flower Grower,principal,Generic,False
121213,Fruit or Nut Grower (P),P,principal,Generic,Fruit or Nut Grower,fruit or nut grower,1,12,121,1212,Managers,Fruit or Nut Grower,principal,Generic,True
121213,Fruit or Nut Farm Manager (A),A,alternative,Generic,Fruit or Nut Farm Manager,fruit or nut farm manager,1,12,121,1212,Managers,Fruit or Nut Grower,principal,Generic,False
121213,Market Gardener (Fruit) (Aus) (S),S,specialisation,Australia,Market Gardener (Fruit),market gardener fruit,1,12,121,1212,Managers,Fruit or Nut Grower,principal,Generic,False
121213,Olive Grower (S),S,specialisation,Generic,Olive Grower,olive grower,1,12,121,1212,Managers,Fruit or Nut Grower,principal,Generic,False
121213,Orchardist (S),S,specialisation,Generic,Orchardist,orchardist,1,12,121,1212,Managers,Fruit or Nut Grower,principal,Generic,False
