state,contract_type,collection_quarter,collection_number,review_quarter_date,estimate,model_estimate,estimate_type,ci_lower_95,ci_upper_95,final_count,pct_of_final_count,final_count_in_pi,raw_collected_count,model_pct_of_final_count,collection_year,collection_quarter_number,collection_quarter_label,abs_pct_error,within_5pct_of_final,pct_of_final_count_outlier_flag,anzsco_join_note
Australia,Cancellations/Withdrawals,2023.3,116,2023-03-01,32817.2,32530.0,Initial,30846,34788,32748,100.2,Y,26500,99.3,2023,3,2023-Q3,0.21,True,False,Aggregate contract counts by state/contract_type. No ANZSCO occupation code available at this level.
Australia,Cancellations/Withdrawals,2023.3,117,2023-03-01,33060.0,0.0,1st Revision,32356,33764,32748,101.0,Y,29796,0.0,2023,3,2023-Q3,0.95,True,False,Aggregate contract counts by state/contract_type. No ANZSCO occupation code available at this level.
Australia,Cancellations/Withdrawals,2023.4,117,2023-06-01,31312.0,0.0,Initial,29594,33030,30115,104.0,Y,25200,0.0,2023,4,2023-Q4,3.97,True,False,Aggregate contract counts by state/contract_type. No ANZSCO occupation code available at this level.
Australia,Cancellations/Withdrawals,2023.4,118,2023-06-01,30607.0,0.0,1st Revision,30076,31138,30115,101.6,Y,27442,0.0,2023,4,2023-Q4,1.63,True,False,Aggregate contract counts by state/contract_type. No ANZSCO occupation code available at this level.
Australia,Cancellations/Withdrawals,2024.1,118,2023-09-01,30673.0,0.0,Initial,29355,31991,29164,105.2,N,24519,0.0,2024,1,2024-Q1,5.17,False,False,Aggregate contract counts by state/contract_type. No ANZSCO occupation code available at this level.
Australia,Cancellations/Withdrawals,2024.1,119,2023-09-01,29970.0,0.0,1st Revision,29441,30499,29164,102.8,N,26818,0.0,2024,1,2024-Q1,2.76,True,False,Aggregate contract counts by state/contract_type. No ANZSCO occupation code available at this level.
Australia,Cancellations/Withdrawals,2024.2,119,2023-12-01,27693.0,0.0,Initial,26510,28876,26691,103.8,Y,22090,0.0,2024,2,2024-Q2,3.75,True,False,Aggregate contract counts by state/contract_type. No ANZSCO occupation code available at this level.
Australia,Cancellations/Withdrawals,2024.2,120,2023-12-01,27599.0,0.0,1st Revision,27021,28177,26691,103.4,Y,24642,0.0,2024,2,2024-Q2,3.4,True,False,Aggregate contract counts by state/contract_type. No ANZSCO occupation code available at this level.
Australia,Commencements,2024.3,120,2024-03-01,59685.0,60508.0,Initial,53106,66264,55845,106.9,Y,54047,108.3,2024,3,2024-Q3,6.88,False,False,Aggregate contract counts by state/contract_type. No ANZSCO occupation code available at this level.
Australia,Commencements,2024.3,121,2024-03-01,56715.0,0.0,1st Revision,55472,57958,55845,101.6,Y,55586,0.0,2024,3,2024-Q3,1.56,True,False,Aggregate contract counts by state/contract_type. No ANZSCO occupation code available at this level.
