unit_group,driver_2024,driver_2025,source_table,source_tables,source_table_count,source_type,source_id,ivi_ue_ratio,employment_growth_5yr,in_shortage_2025_flag,new_shortage_2025_flag,no_longer_shortage_2025_flag,driver_2024_source_mismatch_flag,driver_2025_source_mismatch_flag,source_status_conflict_flag,shortage_driver,driver_conflict,ivi_ue_ratio_negative_flag,employment_growth_extreme_flag,anzsco_join_note
Aged And Disabled Carers,,Retention Gap,Figure C1,Figure C1 | Table 4,2,Figure,C1,0.05,2.95,True,False,False,False,False,False,Retention Gap,False,False,False,OSD unit group level — no 6-digit ANZSCO mapping
"Agricultural, Agritech And Aquaculture Technicians",,Retention Gap,Figure C1,Figure C1 | Table 5,2,Figure,C1,1.4,-0.09,True,False,False,False,False,False,Retention Gap,False,False,False,OSD unit group level — no 6-digit ANZSCO mapping
"Agricultural, Forestry And Horticultural Plant Operators",,Retention Gap,Figure C1,Figure C1,1,Figure,C1,-1.47,-0.44,True,False,False,False,False,False,Retention Gap,False,True,False,OSD unit group level — no 6-digit ANZSCO mapping
Airconditioning And Refrigeration Mechanics,,Long Training Gap,Figure C1,Figure C1 | Table 5,2,Figure,C1,0.31,-0.7,True,False,False,False,False,False,Long Training Gap,False,False,False,OSD unit group level — no 6-digit ANZSCO mapping
Aircraft Maintenance Engineers,,Short Training Gap,Figure C1,Figure C1,1,Figure,C1,-0.2,-0.81,True,False,False,False,False,False,Short Training Gap,False,True,False,OSD unit group level — no 6-digit ANZSCO mapping
Arboriculture Workers,Uncertain,Retention Gap,Figure C1,Figure C1 | Table 3,2,Figure,C1,0.0,0.0,True,False,False,False,False,False,Retention Gap,True,False,False,OSD unit group level — no 6-digit ANZSCO mapping
Audiologists And Speech Pathologists / Therapists,,Long Training Gap,Figure C1,Figure C1 | Table 4,2,Figure,C1,2.41,3.8,True,False,False,False,False,False,Long Training Gap,False,False,False,OSD unit group level — no 6-digit ANZSCO mapping
Automotive Electricians,,Long Training Gap,Figure C1,Figure C1 | Table 4,2,Figure,C1,1.16,1.51,True,False,False,False,False,False,Long Training Gap,False,False,False,OSD unit group level — no 6-digit ANZSCO mapping
Bakers And Pastrycooks,,Retention Gap,Figure C1,Figure C1 | Table 5,2,Figure,C1,0.24,-0.5,True,False,False,False,False,False,Retention Gap,False,False,False,OSD unit group level — no 6-digit ANZSCO mapping
Beauty Therapists,,Retention Gap,Figure C1,Figure C1,1,Figure,C1,-0.32,-0.2,True,False,False,False,False,False,Retention Gap,False,True,False,OSD unit group level — no 6-digit ANZSCO mapping
