anzsco_code,occupation_title,national_shortage_rating,victoria_shortage_rating,skill_level,major_group_code,major_group_label
422111,Aboriginal And Torres Strait Islander Education Worker,No Shortage,No Shortage,4,4,Community and Personal Service Workers
411511,Aboriginal And Torres Strait Islander Health Worker,Shortage,Shortage,2,4,Community and Personal Service Workers
141999,Accommodation And Hospitality Managers NEC,No Shortage,No Shortage,2,1,Managers
221111,Accountant (General),No Shortage,No Shortage,1,2,Professionals
551111,Accounts Clerk,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
211111,Actor,No Shortage,No Shortage,1,2,Professionals
211199,"Actors, Dancers And Other Entertainers NEC",No Shortage,No Shortage,1,2,Professionals
224111,Actuary,Shortage,Shortage,1,2,Professionals
252211,Acupuncturist,No Shortage,No Shortage,1,2,Professionals
542112,Admissions Clerk,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
131113,Advertising Manager,No Shortage,No Shortage,1,1,Managers
225111,Advertising Specialist,No Shortage,No Shortage,1,2,Professionals
233911,Aeronautical Engineer,Shortage,Shortage,1,2,Professionals
231111,Aeroplane Pilot,Shortage,Shortage,1,2,Professionals
423111,Aged Or Disabled Carer,Shortage,Shortage,4,4,Community and Personal Service Workers
311112,Agricultural And Agritech Technician,Shortage,Shortage,2,3,Technicians and Trades Workers
721111,Agricultural And Horticultural Mobile Plant Operator,Regional Shortage,Regional Shortage,4,7,Machinery Operators and Drivers
234111,Agricultural Consultant,Shortage,Shortage,1,2,Professionals
233912,Agricultural Engineer,Shortage,Shortage,1,2,Professionals
234114,Agricultural Research Scientist,Shortage,Shortage,1,2,Professionals
234115,Agronomist,Shortage,Shortage,1,2,Professionals
231112,Air Traffic Controller,Shortage,Shortage,1,2,Professionals
231199,Air Transport Professionals NEC,Shortage,Shortage,1,2,Professionals
334112,Airconditioning And Mechanical Services Plumber,Shortage,Shortage,3,3,Technicians and Trades Workers
342111,Airconditioning And Refrigeration Mechanic,Shortage,Shortage,3,3,Technicians and Trades Workers
721911,Aircraft Baggage Handler And Airline Ground Crew,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
323111,Aircraft Maintenance Engineer (Avionics),Shortage,Shortage,3,3,Technicians and Trades Workers
323112,Aircraft Maintenance Engineer (Mechanical),Shortage,Shortage,3,3,Technicians and Trades Workers
323113,Aircraft Maintenance Engineer (Structures),Shortage,Shortage,3,3,Technicians and Trades Workers
733112,Aircraft Refueller,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
411111,Ambulance Officer,Shortage,Shortage,2,4,Community and Personal Service Workers
149111,Amusement Centre Manager,No Shortage,No Shortage,2,1,Managers
311211,Anaesthetic Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
253211,Anaesthetist,Shortage,Shortage,1,2,Professionals
261311,Analyst Programmer,No Shortage,No Shortage,1,2,Professionals
361199,Animal Attendants And Trainers NEC,No Shortage,No Shortage,4,3,Technicians and Trades Workers
311113,Animal Husbandry Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
142112,Antique Dealer,No Shortage,No Shortage,2,1,Managers
121311,Apiarist,No Shortage,No Shortage,1,1,Managers
393211,Apparel Cutter,No Shortage,No Shortage,3,3,Technicians and Trades Workers
121111,Aquaculture Farmer,No Shortage,No Shortage,1,1,Managers
234116,Aquaculture Or Fisheries Scientist,Shortage,Shortage,1,2,Professionals
311114,Aquaculture Or Fisheries Technician,No Shortage,No Shortage,2,3,Technicians and Trades Workers
363111,Aquaculture Supervisor,No Shortage,No Shortage,3,3,Technicians and Trades Workers
362511,Arborist,Shortage,Shortage,2,3,Technicians and Trades Workers
272414,Archaeologist,No Shortage,No Shortage,1,2,Professionals
232111,Architect,No Shortage,No Shortage,1,2,Professionals
312111,Architectural Draftsperson,No Shortage,No Shortage,2,3,Technicians and Trades Workers
312199,"Architectural, Building And Surveying Technicians NEC",No Shortage,No Shortage,2,3,Technicians and Trades Workers
224211,Archivist,No Shortage,No Shortage,1,2,Professionals
212311,"Art Director (Film, Television Or Stage)",No Shortage,No Shortage,1,2,Professionals
249211,Art Teacher (Private Tuition),No Shortage,No Shortage,1,2,Professionals
212111,Artistic Director,No Shortage,No Shortage,1,2,Professionals
139911,Arts Administrator Or Manager,No Shortage,No Shortage,1,1,Managers
611111,Auctioneer,No Shortage,No Shortage,3,6,Sales Workers
252711,Audiologist,Shortage,Shortage,1,2,Professionals
212211,Author,No Shortage,No Shortage,1,2,Professionals
899412,Autoglazier,Shortage,Shortage,4,8,Labourers
731199,Automobile Drivers NEC,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
321111,Automotive Electrician,Shortage,Shortage,3,3,Technicians and Trades Workers
721212,Backhoe Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
351111,Baker,Shortage,Shortage,3,3,Technicians and Trades Workers
552111,Bank Worker,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
431111,Bar Attendant,No Shortage,No Shortage,4,4,Community and Personal Service Workers
431112,Barista,No Shortage,No Shortage,4,4,Community and Personal Service Workers
271111,Barrister,No Shortage,No Shortage,1,2,Professionals
451111,Beauty Therapist,Shortage,Shortage,3,4,Community and Personal Service Workers
141911,Bed And Breakfast Operator,No Shortage,No Shortage,2,1,Managers
842311,Beef Cattle Farm Worker,No Shortage,No Shortage,4,8,Labourers
121312,Beef Cattle Farmer,No Shortage,No Shortage,1,1,Managers
142113,Betting Agency Manager,No Shortage,No Shortage,2,1,Managers
234513,Biochemist,No Shortage,No Shortage,1,2,Professionals
233913,Biomedical Engineer,Shortage,Shortage,1,2,Professionals
311313,Biosecurity Officer,No Shortage,No Shortage,2,3,Technicians and Trades Workers
234514,Biotechnologist,No Shortage,No Shortage,1,2,Professionals
322111,Blacksmith,No Shortage,No Shortage,3,3,Technicians and Trades Workers
149911,Boarding Kennel Or Cattery Operator,No Shortage,No Shortage,2,1,Managers
399111,Boat Builder And Repairer,Shortage,Shortage,3,3,Technicians and Trades Workers
451814,Body Artist,No Shortage,No Shortage,4,4,Community and Personal Service Workers
712911,Boiler Or Engine Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
212212,Book Or Script Editor,No Shortage,No Shortage,1,2,Professionals
551211,Bookkeeper,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
552311,Bookmaker,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
234515,Botanist,No Shortage,No Shortage,1,2,Professionals
331111,Bricklayer,Shortage,Shortage,3,3,Technicians and Trades Workers
121711,Broadacre Crop And Livestock Farmer,No Shortage,No Shortage,1,1,Managers
121599,Broadacre Crop Growers NEC,No Shortage,No Shortage,1,1,Managers
399511,Broadcast Transmitter Operator,No Shortage,No Shortage,3,3,Technicians and Trades Workers
312999,Building And Engineering Technicians NEC,No Shortage,No Shortage,2,3,Technicians and Trades Workers
312112,Building Associate,No Shortage,No Shortage,2,3,Technicians and Trades Workers
312113,Building Inspector,Shortage,Shortage,2,3,Technicians and Trades Workers
821411,Building Insulation Installer,No Shortage,No Shortage,4,8,Labourers
712912,Bulk Materials Handling Plant Operator,No Shortage,No Shortage,4,7,Machinery Operators and Drivers
721213,Bulldozer Operator,Shortage,Shortage,4,7,Machinery Operators and Drivers
452211,Bungy Jump Master,No Shortage,No Shortage,2,4,Community and Personal Service Workers
731211,Bus Driver,Shortage,Shortage,4,7,Machinery Operators and Drivers
612111,Business Broker,No Shortage,No Shortage,3,6,Sales Workers
342311,Business Machine Mechanic,No Shortage,No Shortage,3,3,Technicians and Trades Workers
351211,Butcher Or Smallgoods Maker,Shortage,Shortage,3,3,Technicians and Trades Workers
394112,Cabinet Maker,Shortage,Shortage,3,3,Technicians and Trades Workers
342411,Cabler (Data And Telecommunications),Shortage,Shortage,3,3,Technicians and Trades Workers
141111,Cafe Or Restaurant Manager,No Shortage,No Shortage,2,1,Managers
149211,Call Or Contact Centre Manager,No Shortage,No Shortage,2,1,Managers
541112,Call Or Contact Centre Operator,No Shortage,No Shortage,4,5,Clerical and Administrative Workers
541111,Call Or Contact Centre Team Leader,No Shortage,No Shortage,3,5,Clerical and Administrative Workers
399512,"Camera Operator (Film, Television Or Video)",No Shortage,No Shortage,3,3,Technicians and Trades Workers
393111,Canvas Goods Fabricator,No Shortage,No Shortage,3,3,Technicians and Trades Workers
