anzsco_code,occupation_title,national_shortage_rating,nsw_rating,vic_rating,qld_rating,sa_rating,wa_rating,tas_rating,nt_rating,act_rating,skill_level,major_occupation_group,classification_system,major_group_code,major_group_label
111111,Chief Executive Or Managing Director,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
111211,Corporate General Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121111,Aquaculture Farmer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121311,Apiarist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121312,Beef Cattle Farmer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121313,Dairy Cattle Farmer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121314,Deer Farmer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121315,Goat Farmer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121316,Horse Breeder,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121318,Pig Farmer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121321,Poultry Farmer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121322,Sheep Farmer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121323,Mixed Cattle And Sheep Farmer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121399,Livestock Farmers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121511,Cotton Grower,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121512,"Grain, Oilseed, Pulse Or Pasture Grower / Field Crop Grower",No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121513,Sugar Cane Grower,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121599,Broadacre Crop Growers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121611,Flower Grower,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121612,Fruit Grower,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121613,Nut Grower,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121614,Production Nursery Grower,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121615,Turf Grower,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121616,Vegetable Grower,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121617,Wine Grape Grower,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121699,Horticultural Crop Growers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121711,Broadacre Crop And Livestock Farmer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
121799,Mixed Production Farmers NEC,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
131112,Sales And Marketing Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
131113,Advertising Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
131114,Public Relations Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
132111,Corporate Services Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
132211,Finance Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
132311,Human Resource Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
132411,Policy And Planning Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
132511,Research And Development Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
133111,Construction Project Manager,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1,1,ANZSCO_2022,1,Managers
133112,Project Builder,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
133211,Engineering Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
133311,Importer Or Exporter,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
133312,Wholesaler,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1,1,ANZSCO_2022,1,Managers
