table_id,table_number,table_title,slice_section,metric_label,measure_label,survey_year,value,value_raw,value_status,value_has_asterisk,value_unit,slice_dataset,is_ai_module,anzsco_join_note,value_outlier_flag
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with apprentices and trainees (base: all employers with apprentices/trainees),Overall,2005,78.7,78.7,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with apprentices and trainees (base: all employers with apprentices/trainees),Overall,2007,83.2,83.2,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with apprentices and trainees (base: all employers with apprentices/trainees),Overall,2009,83.3,83.3,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with apprentices and trainees (base: all employers with apprentices/trainees),Overall,2011,82.9,82.9,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with apprentices and trainees (base: all employers with apprentices/trainees),Overall,2013,78.8,78.8,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with apprentices and trainees (base: all employers with apprentices/trainees),Overall,2015,81.7,81.7,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with apprentices and trainees (base: all employers with apprentices/trainees),Overall,2017,77.5,77.5,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with apprentices and trainees (base: all employers with apprentices/trainees),Overall,2019,77.6,77.6,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with apprentices and trainees (base: all employers with apprentices/trainees),Overall,2021,74.2,74.2,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with apprentices and trainees (base: all employers with apprentices/trainees),Overall,2023,73.2,73.2,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with apprentices and trainees (base: all employers with apprentices/trainees),Overall,2025,76.7,76.7,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with nationally recognised training (base: all employers using nationally recognised training),Overall,2005,81.3,81.3,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with nationally recognised training (base: all employers using nationally recognised training),Overall,2007,82.0,82,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with nationally recognised training (base: all employers using nationally recognised training),Overall,2009,86.3,86.3,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with nationally recognised training (base: all employers using nationally recognised training),Overall,2011,89.2,89.2,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with nationally recognised training (base: all employers using nationally recognised training),Overall,2013,83.1,83.1,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with nationally recognised training (base: all employers using nationally recognised training),Overall,2015,84.0,84,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with nationally recognised training (base: all employers using nationally recognised training),Overall,2017,82.2,82.2,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with nationally recognised training (base: all employers using nationally recognised training),Overall,2019,78.8,78.8,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with nationally recognised training (base: all employers using nationally recognised training),Overall,2021,78.7,78.7,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with nationally recognised training (base: all employers using nationally recognised training),Overall,2023,78.5,78.5,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with nationally recognised training (base: all employers using nationally recognised training),Overall,2025,76.1,76.1,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with unaccredited training (base: all employers using unaccredited training),Overall,2005,91.7,91.7,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with unaccredited training (base: all employers using unaccredited training),Overall,2007,92.6,92.6,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 1,1,"Key findings, timeseries (%)",Satisfaction with training,Employers satisfied with unaccredited training (base: all employers using unaccredited training),Overall,2009,95.4,95.4,reported,False,pct,training_type,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
