table_id,table_number,table_title,slice_section,metric_label,measure_label,survey_year,value,value_raw,value_status,value_has_asterisk,value_unit,slice_dataset,is_ai_module,anzsco_join_note,value_outlier_flag
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers providing no training,2005,0.0,0,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers providing no training,2011,0.0,0,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers providing no training,2015,0.0,0,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers providing no training,2019,0.8,0.8,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers providing no training,2021,0.0,0,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers providing no training,2023,0.5,0.5,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers providing no training,2025,2.5,2.5,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers providing no training,2007,,np,not_publishable,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers providing no training,2009,,np,not_publishable,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers providing no training,2013,,np,not_publishable,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers providing no training,2017,,np,not_publishable,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using accredited training,2005,94.2,94.2,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using accredited training,2007,94.7,94.7,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using accredited training,2009,96.2,96.2,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using accredited training,2011,90.3,90.3,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using accredited training,2013,94.6,94.6,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using accredited training,2015,90.5,90.5,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using accredited training,2017,85.2,85.2,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using accredited training,2019,81.6,81.6,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using accredited training,2021,91.6,91.6,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using accredited training,2023,87.8,87.8,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using accredited training,2025,82.2,82.2,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using informal training,2005,96.1,96.1,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using informal training,2007,95.0,95,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using informal training,2009,93.6,93.6,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using informal training,2011,95.6,95.6,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using informal training,2013,97.1,97.1,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using informal training,2015,94.2,94.2,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using informal training,2017,96.3,96.3,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using informal training,2019,94.3,94.3,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using informal training,2021,94.1,94.1,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using informal training,2023,95.4,95.4,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using informal training,2025,92.6,92.6,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using unaccredited training,2005,88.7,88.7,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using unaccredited training,2007,90.4,90.4,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using unaccredited training,2009,94.4,94.4,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
Table 2,2,"Use of training in the last 12 months by employer characteristics, timeseries (%)",Employer size,Large,Employers using unaccredited training,2011,93.0,93,reported,False,pct,employer_size,False,Employer survey — joins on state/industry/size. No ANZSCO occupation code available.,False
