program_id,industry_label,pct_employed_in_industry,rank
10727NAT,Foundation/Non-Vocational,0.0,ind_top1
10728NAT,Accommodation And Food Services,18.7,ind_top1
10729NAT,Health Care And Social Assistance,29.2,ind_top1
10797NAT,Retail Trade,92.1,ind_top1
10949NAT,Accommodation And Food Services,53.3,ind_top1
10971NAT,Accommodation And Food Services,36.5,ind_top1
10984NAT,Accommodation And Food Services,21.8,ind_top1
10985NAT,Health Care And Social Assistance,20.7,ind_top1
11022NAT,Health Care And Social Assistance,25.2,ind_top1
11039NAT,Accommodation And Food Services,43.1,ind_top1
11042NAT,Health Care And Social Assistance,22.2,ind_top1
11046NAT,Health Care And Social Assistance,24.4,ind_top1
11225NAT,Accommodation And Food Services,30.1,ind_top1
11236NAT,Accommodation And Food Services,35.9,ind_top1
11240NAT,Retail Trade,24.5,ind_top1
22470VIC,Retail Trade,22.9,ind_top1
22472VIC,Foundation/Non-Vocational,0.0,ind_top1
22473VIC,Accommodation And Food Services,31.7,ind_top1
22476VIC,Foundation/Non-Vocational,0.0,ind_top1
22485VIC,Accommodation And Food Services,16.7,ind_top1
22486VIC,Accommodation And Food Services,19.0,ind_top1
22499VIC,Construction,47.3,ind_top1
22582VIC,Retail Trade,29.5,ind_top1
22603VIC,"Professional, Scientific And Technical Services",21.1,ind_top1
22614VIC,Construction,54.9,ind_top1
22638VIC,Foundation/Non-Vocational,0.0,ind_top1
22639VIC,Health Care And Social Assistance,25.1,ind_top1
22640VIC,Retail Trade,17.3,ind_top1
52887WA,Construction,64.8,ind_top1
52893WA,Construction,53.8,ind_top1
52895WA,Retail Trade,35.3,ind_top1
ACM20121,Retail Trade,29.1,ind_top1
ACM30122,Retail Trade,27.2,ind_top1
ACM30321,Arts And Recreational Services,39.7,ind_top1
ACM40418,"Professional, Scientific And Technical Services",85.2,ind_top1
AHC10120,Foundation/Non-Vocational,0.0,ind_top1
AHC20116,"Agriculture, Forestry And Fishing",32.0,ind_top1
AHC20416,Administrative And Support Services,20.3,ind_top1
AHC20422,Education And Training,31.1,ind_top1
AHC21216,"Agriculture, Forestry And Fishing",19.0,ind_top1
AHC30116,"Agriculture, Forestry And Fishing",66.3,ind_top1
AHC30716,Administrative And Support Services,36.2,ind_top1
AHC30722,Administrative And Support Services,30.1,ind_top1
AHC30820,Administrative And Support Services,84.1,ind_top1
AHC30921,Construction,78.9,ind_top1
AHC31021,Administrative And Support Services,54.3,ind_top1
AHC31421,"Agriculture, Forestry And Fishing",36.0,ind_top1
AHC41316,"Agriculture, Forestry And Fishing",70.8,ind_top1
AMP20316,Manufacturing,83.5,ind_top1
AMP30216,Manufacturing,85.3,ind_top1
AUR10120,Foundation/Non-Vocational,0.0,ind_top1
AUR20220,Other Services,60.5,ind_top1
AUR20520,Other Services,50.6,ind_top1
AUR20720,Other Services,28.1,ind_top1
AUR30320,Other Services,68.8,ind_top1
AUR30620,Other Services,81.8,ind_top1
AUR31020,Retail Trade,42.4,ind_top1
AUR31120,Other Services,76.1,ind_top1
AUR31220,Mining,49.6,ind_top1
AUR32120,Other Services,90.6,ind_top1
AUR32420,Other Services,82.9,ind_top1
AVI20118,Public Administration And Safety,64.3,ind_top1
AVI30419,Accommodation And Food Services,29.6,ind_top1
BSB10120,Foundation/Non-Vocational,0.0,ind_top1
BSB20120,Accommodation And Food Services,35.7,ind_top1
BSB30120,Accommodation And Food Services,18.7,ind_top1
BSB30220,Other Services,15.9,ind_top1
BSB30420,Accommodation And Food Services,17.3,ind_top1
BSB40120,Education And Training,13.2,ind_top1
BSB40320,Health Care And Social Assistance,14.8,ind_top1
BSB40420,Health Care And Social Assistance,20.1,ind_top1
BSB40520,Health Care And Social Assistance,18.4,ind_top1
BSB40720,Information Media And Telecommunications,22.9,ind_top1
BSB40820,Accommodation And Food Services,22.6,ind_top1
BSB40920,Public Administration And Safety,21.8,ind_top1
BSB41419,Construction,21.6,ind_top1
BSB50120,Retail Trade,24.2,ind_top1
BSB50320,Health Care And Social Assistance,19.8,ind_top1
BSB50420,Health Care And Social Assistance,24.9,ind_top1
BSB50520,Information Media And Telecommunications,37.3,ind_top1
BSB50820,Construction,23.3,ind_top1
BSB50920,Health Care And Social Assistance,38.6,ind_top1
BSB51319,Construction,19.2,ind_top1
BSB60420,Public Administration And Safety,28.9,ind_top1
BSB80120,Education And Training,55.9,ind_top1
CHC14015,Foundation/Non-Vocational,0.0,ind_top1
CHC22015,Accommodation And Food Services,33.9,ind_top1
CHC24015,Accommodation And Food Services,46.5,ind_top1
CHC30121,Health Care And Social Assistance,78.7,ind_top1
CHC30221,Education And Training,72.2,ind_top1
CHC32015,Health Care And Social Assistance,50.3,ind_top1
CHC33015,Health Care And Social Assistance,85.2,ind_top1
