program_id,occupation_label,pct_employed_in_occ,rank,anzsco_major_group_code,anzsco_major_group_label
10727NAT,Labourers,30.6,occ_top1,8,Labourers
10728NAT,Labourers,24.6,occ_top1,8,Labourers
10729NAT,Community And Personal Service Workers,28.2,occ_top1,4,Community and Personal Service Workers
10797NAT,Professionals,96.9,occ_top1,2,Professionals
10949NAT,Community And Personal Service Workers,30.6,occ_top1,4,Community and Personal Service Workers
10971NAT,Sales Workers,41.0,occ_top1,6,Sales Workers
10984NAT,Labourers,31.6,occ_top1,8,Labourers
10985NAT,Labourers,32.7,occ_top1,8,Labourers
11022NAT,Community And Personal Service Workers,35.2,occ_top1,4,Community and Personal Service Workers
11039NAT,Labourers,30.9,occ_top1,8,Labourers
11042NAT,Community And Personal Service Workers,20.4,occ_top1,4,Community and Personal Service Workers
11046NAT,Community And Personal Service Workers,33.2,occ_top1,4,Community and Personal Service Workers
11225NAT,Community And Personal Service Workers,27.7,occ_top1,4,Community and Personal Service Workers
11236NAT,Sales Workers,33.7,occ_top1,6,Sales Workers
11240NAT,Community And Personal Service Workers,25.7,occ_top1,4,Community and Personal Service Workers
22470VIC,Technicians And Trades Workers,31.8,occ_top1,3,Technicians and Trades Workers
22472VIC,Sales Workers,35.6,occ_top1,6,Sales Workers
22473VIC,Labourers,32.9,occ_top1,8,Labourers
22476VIC,Community And Personal Service Workers,37.3,occ_top1,4,Community and Personal Service Workers
22485VIC,Labourers,29.3,occ_top1,8,Labourers
22486VIC,Community And Personal Service Workers,27.3,occ_top1,4,Community and Personal Service Workers
22499VIC,Technicians And Trades Workers,54.5,occ_top1,3,Technicians and Trades Workers
22582VIC,Sales Workers,30.8,occ_top1,6,Sales Workers
22603VIC,Professionals,32.3,occ_top1,2,Professionals
22614VIC,Technicians And Trades Workers,53.5,occ_top1,3,Technicians and Trades Workers
22638VIC,Labourers,27.7,occ_top1,8,Labourers
22639VIC,Community And Personal Service Workers,30.3,occ_top1,4,Community and Personal Service Workers
22640VIC,Machinery Operators And Drivers,21.4,occ_top1,7,Machinery Operators and Drivers
52887WA,Technicians And Trades Workers,63.8,occ_top1,3,Technicians and Trades Workers
52893WA,Technicians And Trades Workers,52.0,occ_top1,3,Technicians and Trades Workers
52895WA,Sales Workers,37.5,occ_top1,6,Sales Workers
ACM20121,Sales Workers,29.5,occ_top1,6,Sales Workers
ACM30122,Technicians And Trades Workers,32.3,occ_top1,3,Technicians and Trades Workers
ACM30321,Technicians And Trades Workers,46.0,occ_top1,3,Technicians and Trades Workers
ACM40418,Technicians And Trades Workers,85.1,occ_top1,3,Technicians and Trades Workers
AHC10120,Labourers,46.9,occ_top1,8,Labourers
AHC20116,Labourers,41.2,occ_top1,8,Labourers
AHC20416,Labourers,33.1,occ_top1,8,Labourers
AHC20422,Professionals,32.8,occ_top1,2,Professionals
AHC21216,Labourers,35.6,occ_top1,8,Labourers
AHC30116,Labourers,56.3,occ_top1,8,Labourers
AHC30716,Technicians And Trades Workers,38.7,occ_top1,3,Technicians and Trades Workers
AHC30722,Technicians And Trades Workers,38.0,occ_top1,3,Technicians and Trades Workers
AHC30820,Technicians And Trades Workers,77.3,occ_top1,3,Technicians and Trades Workers
AHC30921,Technicians And Trades Workers,70.9,occ_top1,3,Technicians and Trades Workers
AHC31021,Technicians And Trades Workers,59.4,occ_top1,3,Technicians and Trades Workers
AHC31421,Labourers,36.8,occ_top1,8,Labourers
AHC41316,Labourers,26.5,occ_top1,8,Labourers
AMP20316,Labourers,81.2,occ_top1,8,Labourers
AMP30216,Labourers,76.6,occ_top1,8,Labourers
AUR10120,Technicians And Trades Workers,34.8,occ_top1,3,Technicians and Trades Workers
AUR20220,Technicians And Trades Workers,91.7,occ_top1,3,Technicians and Trades Workers
AUR20520,Technicians And Trades Workers,58.6,occ_top1,3,Technicians and Trades Workers
AUR20720,Technicians And Trades Workers,41.7,occ_top1,3,Technicians and Trades Workers
AUR30320,Technicians And Trades Workers,90.0,occ_top1,3,Technicians and Trades Workers
AUR30620,Technicians And Trades Workers,89.2,occ_top1,3,Technicians and Trades Workers
AUR31020,Sales Workers,76.2,occ_top1,6,Sales Workers
AUR31120,Technicians And Trades Workers,92.1,occ_top1,3,Technicians and Trades Workers
AUR31220,Technicians And Trades Workers,96.9,occ_top1,3,Technicians and Trades Workers
AUR32120,Technicians And Trades Workers,87.7,occ_top1,3,Technicians and Trades Workers
AUR32420,Technicians And Trades Workers,47.8,occ_top1,3,Technicians and Trades Workers
AVI20118,Community And Personal Service Workers,68.5,occ_top1,4,Community and Personal Service Workers
AVI30419,Labourers,26.6,occ_top1,8,Labourers
BSB10120,Labourers,28.0,occ_top1,8,Labourers
BSB20120,Sales Workers,29.4,occ_top1,6,Sales Workers
BSB30120,Clerical And Administrative Workers,29.7,occ_top1,5,Clerical and Administrative Workers
BSB30220,Professionals,25.0,occ_top1,2,Professionals
BSB30420,Clerical And Administrative Workers,26.5,occ_top1,5,Clerical and Administrative Workers
BSB40120,Clerical And Administrative Workers,36.8,occ_top1,5,Clerical and Administrative Workers
BSB40320,Professionals,33.6,occ_top1,2,Professionals
BSB40420,Professionals,38.6,occ_top1,2,Professionals
BSB40520,Managers,27.0,occ_top1,1,Managers
BSB40720,Clerical And Administrative Workers,45.4,occ_top1,5,Clerical and Administrative Workers
BSB40820,Professionals,23.4,occ_top1,2,Professionals
BSB40920,Clerical And Administrative Workers,29.1,occ_top1,5,Clerical and Administrative Workers
BSB41419,Professionals,45.5,occ_top1,2,Professionals
BSB50120,Sales Workers,24.9,occ_top1,6,Sales Workers
BSB50320,Professionals,49.6,occ_top1,2,Professionals
BSB50420,Managers,32.8,occ_top1,1,Managers
BSB50520,Clerical And Administrative Workers,38.8,occ_top1,5,Clerical and Administrative Workers
BSB50820,Managers,29.9,occ_top1,1,Managers
BSB50920,Professionals,42.8,occ_top1,2,Professionals
BSB51319,Professionals,55.8,occ_top1,2,Professionals
BSB60420,Managers,47.2,occ_top1,1,Managers
BSB80120,Professionals,55.8,occ_top1,2,Professionals
CHC14015,Sales Workers,37.1,occ_top1,6,Sales Workers
CHC22015,Sales Workers,38.3,occ_top1,6,Sales Workers
CHC24015,Sales Workers,33.6,occ_top1,6,Sales Workers
CHC30121,Community And Personal Service Workers,56.6,occ_top1,4,Community and Personal Service Workers
CHC30221,Community And Personal Service Workers,78.5,occ_top1,4,Community and Personal Service Workers
CHC32015,Community And Personal Service Workers,51.8,occ_top1,4,Community and Personal Service Workers
CHC33015,Community And Personal Service Workers,81.1,occ_top1,4,Community and Personal Service Workers
CHC33021,Community And Personal Service Workers,80.3,occ_top1,4,Community and Personal Service Workers
CHC40221,Community And Personal Service Workers,82.3,occ_top1,4,Community and Personal Service Workers
CHC40313,Community And Personal Service Workers,82.8,occ_top1,4,Community and Personal Service Workers
CHC40321,Community And Personal Service Workers,87.7,occ_top1,4,Community and Personal Service Workers
CHC40413,Community And Personal Service Workers,74.3,occ_top1,4,Community and Personal Service Workers
CHC40421,Community And Personal Service Workers,64.3,occ_top1,4,Community and Personal Service Workers
CHC41015,Professionals,42.9,occ_top1,2,Professionals
CHC42015,Community And Personal Service Workers,51.1,occ_top1,4,Community and Personal Service Workers
CHC42021,Community And Personal Service Workers,54.7,occ_top1,4,Community and Personal Service Workers
CHC43015,Community And Personal Service Workers,81.5,occ_top1,4,Community and Personal Service Workers
CHC43115,Community And Personal Service Workers,80.4,occ_top1,4,Community and Personal Service Workers
CHC43121,Community And Personal Service Workers,83.4,occ_top1,4,Community and Personal Service Workers
CHC43215,Professionals,44.5,occ_top1,2,Professionals
CHC43315,Community And Personal Service Workers,57.5,occ_top1,4,Community and Personal Service Workers
CHC43415,Community And Personal Service Workers,84.2,occ_top1,4,Community and Personal Service Workers
CHC43515,Professionals,50.7,occ_top1,2,Professionals
CHC50121,Community And Personal Service Workers,61.8,occ_top1,4,Community and Personal Service Workers
CHC50221,Community And Personal Service Workers,62.1,occ_top1,4,Community and Personal Service Workers
CHC51015,Professionals,40.8,occ_top1,2,Professionals
CHC52015,Community And Personal Service Workers,62.2,occ_top1,4,Community and Personal Service Workers
CHC52021,Community And Personal Service Workers,65.7,occ_top1,4,Community and Personal Service Workers
CHC53315,Community And Personal Service Workers,50.1,occ_top1,4,Community and Personal Service Workers
CHC62015,Community And Personal Service Workers,42.8,occ_top1,4,Community and Personal Service Workers
CPC10120,Technicians And Trades Workers,29.7,occ_top1,3,Technicians and Trades Workers
CPC20220,Technicians And Trades Workers,41.5,occ_top1,3,Technicians and Trades Workers
CPC30220,Technicians And Trades Workers,87.2,occ_top1,3,Technicians and Trades Workers
CPC30320,Labourers,66.9,occ_top1,8,Labourers
CPC30620,Technicians And Trades Workers,91.9,occ_top1,3,Technicians and Trades Workers
CPC31320,Technicians And Trades Workers,94.3,occ_top1,3,Technicians and Trades Workers
CPC31420,Technicians And Trades Workers,48.3,occ_top1,3,Technicians and Trades Workers
CPC32420,Technicians And Trades Workers,94.9,occ_top1,3,Technicians and Trades Workers
CPC33020,Technicians And Trades Workers,83.4,occ_top1,3,Technicians and Trades Workers
CPC40120,Technicians And Trades Workers,58.9,occ_top1,3,Technicians and Trades Workers
CPC40920,Technicians And Trades Workers,91.2,occ_top1,3,Technicians and Trades Workers
CPC50220,Technicians And Trades Workers,44.1,occ_top1,3,Technicians and Trades Workers
CPP20218,Community And Personal Service Workers,59.2,occ_top1,4,Community and Personal Service Workers
CPP30321,Labourers,87.1,occ_top1,8,Labourers
CPP31318,Community And Personal Service Workers,82.1,occ_top1,4,Community and Personal Service Workers
CPP40121,Technicians And Trades Workers,39.9,occ_top1,3,Technicians and Trades Workers
CPP41419,Sales Workers,52.4,occ_top1,6,Sales Workers
CPP51122,Sales Workers,67.2,occ_top1,6,Sales Workers
CSC30120,Community And Personal Service Workers,93.5,occ_top1,4,Community and Personal Service Workers
CSC30122,Community And Personal Service Workers,92.6,occ_top1,4,Community and Personal Service Workers
CSC40122,Community And Personal Service Workers,86.0,occ_top1,4,Community and Personal Service Workers
CUA20120,Sales Workers,37.0,occ_top1,6,Sales Workers
CUA20220,Sales Workers,31.9,occ_top1,6,Sales Workers
CUA20620,Sales Workers,31.4,occ_top1,6,Sales Workers
CUA20720,Sales Workers,36.6,occ_top1,6,Sales Workers
CUA30120,Professionals,28.6,occ_top1,2,Professionals
CUA30420,Sales Workers,31.5,occ_top1,6,Sales Workers
CUA30720,Sales Workers,31.2,occ_top1,6,Sales Workers
CUA30920,Sales Workers,27.3,occ_top1,6,Sales Workers
CUA31020,Sales Workers,30.1,occ_top1,6,Sales Workers
CUA31120,Sales Workers,29.9,occ_top1,6,Sales Workers
CUA40720,Sales Workers,29.6,occ_top1,6,Sales Workers
CUA41120,Professionals,44.8,occ_top1,2,Professionals
CUA41220,Sales Workers,28.1,occ_top1,6,Sales Workers
CUA50720,Professionals,33.9,occ_top1,2,Professionals
CUA50820,Technicians And Trades Workers,20.2,occ_top1,3,Technicians and Trades Workers
CUA51020,Sales Workers,29.7,occ_top1,6,Sales Workers
CUA51120,Community And Personal Service Workers,28.1,occ_top1,4,Community and Personal Service Workers
CUA60620,Sales Workers,27.3,occ_top1,6,Sales Workers
FBP20122,Labourers,48.6,occ_top1,8,Labourers
FBP20221,Technicians And Trades Workers,29.9,occ_top1,3,Technicians and Trades Workers
FBP30121,Labourers,45.9,occ_top1,8,Labourers
FBP30521,Technicians And Trades Workers,84.7,occ_top1,3,Technicians and Trades Workers
FNS10120,Community And Personal Service Workers,31.4,occ_top1,4,Community and Personal Service Workers
FNS20120,Sales Workers,38.9,occ_top1,6,Sales Workers
FNS30122,Clerical And Administrative Workers,85.4,occ_top1,5,Clerical and Administrative Workers
FNS30322,Clerical And Administrative Workers,58.4,occ_top1,5,Clerical and Administrative Workers
FNS40222,Clerical And Administrative Workers,59.3,occ_top1,5,Clerical and Administrative Workers
FNS40821,Professionals,46.9,occ_top1,2,Professionals
FNS50222,Clerical And Administrative Workers,60.5,occ_top1,5,Clerical and Administrative Workers
FNS50322,Professionals,61.4,occ_top1,2,Professionals
FSK10219,Labourers,26.0,occ_top1,8,Labourers
FSK20119,Labourers,29.9,occ_top1,8,Labourers
HLT21020,Community And Personal Service Workers,33.3,occ_top1,4,Community and Personal Service Workers
HLT23221,Sales Workers,39.3,occ_top1,6,Sales Workers
HLT31120,Community And Personal Service Workers,68.4,occ_top1,4,Community and Personal Service Workers
HLT33015,Community And Personal Service Workers,57.5,occ_top1,4,Community and Personal Service Workers
HLT33021,Community And Personal Service Workers,62.7,occ_top1,4,Community and Personal Service Workers
HLT33115,Community And Personal Service Workers,53.6,occ_top1,4,Community and Personal Service Workers
HLT35021,Community And Personal Service Workers,88.0,occ_top1,4,Community and Personal Service Workers
HLT37015,Machinery Operators And Drivers,51.6,occ_top1,7,Machinery Operators and Drivers
HLT37215,Technicians And Trades Workers,60.4,occ_top1,3,Technicians and Trades Workers
HLT37315,Clerical And Administrative Workers,51.8,occ_top1,5,Clerical and Administrative Workers
HLT42021,Community And Personal Service Workers,72.0,occ_top1,4,Community and Personal Service Workers
HLT43015,Community And Personal Service Workers,67.9,occ_top1,4,Community and Personal Service Workers
HLT43021,Community And Personal Service Workers,56.8,occ_top1,4,Community and Personal Service Workers
HLT45021,Community And Personal Service Workers,90.4,occ_top1,4,Community and Personal Service Workers
HLT47315,Clerical And Administrative Workers,68.9,occ_top1,5,Clerical and Administrative Workers
HLT47321,Clerical And Administrative Workers,69.7,occ_top1,5,Clerical and Administrative Workers
HLT47815,Technicians And Trades Workers,71.6,occ_top1,3,Technicians and Trades Workers
HLT51020,Community And Personal Service Workers,67.1,occ_top1,4,Community and Personal Service Workers
HLT52015,Community And Personal Service Workers,72.3,occ_top1,4,Community and Personal Service Workers
HLT52021,Community And Personal Service Workers,75.8,occ_top1,4,Community and Personal Service Workers
HLT54121,Community And Personal Service Workers,87.5,occ_top1,4,Community and Personal Service Workers
ICT20120,Sales Workers,24.8,occ_top1,6,Sales Workers
ICT30120,Sales Workers,21.1,occ_top1,6,Sales Workers
ICT30519,Technicians And Trades Workers,88.0,occ_top1,3,Technicians and Trades Workers
ICT40120,Technicians And Trades Workers,35.4,occ_top1,3,Technicians and Trades Workers
ICT50220,Professionals,35.8,occ_top1,2,Professionals
MAR10220,Labourers,28.5,occ_top1,8,Labourers
MAR20321,Professionals,28.7,occ_top1,2,Professionals
MAR30921,Professionals,41.6,occ_top1,2,Professionals
MEA20518,Technicians And Trades Workers,36.3,occ_top1,3,Technicians and Trades Workers
MEM10119,Technicians And Trades Workers,34.0,occ_top1,3,Technicians and Trades Workers
MEM20105,Technicians And Trades Workers,62.3,occ_top1,3,Technicians and Trades Workers
MEM20422,Technicians And Trades Workers,39.8,occ_top1,3,Technicians and Trades Workers
MEM30219,Technicians And Trades Workers,89.1,occ_top1,3,Technicians and Trades Workers
MEM30319,Technicians And Trades Workers,89.6,occ_top1,3,Technicians and Trades Workers
MEM30522,Technicians And Trades Workers,39.5,occ_top1,3,Technicians and Trades Workers
MEM31419,Technicians And Trades Workers,93.2,occ_top1,3,Technicians and Trades Workers
MEM31922,Technicians And Trades Workers,90.7,occ_top1,3,Technicians and Trades Workers
MEM40119,Technicians And Trades Workers,82.7,occ_top1,3,Technicians and Trades Workers
MSF30322,Technicians And Trades Workers,89.0,occ_top1,3,Technicians and Trades Workers
MSF40122,Sales Workers,32.8,occ_top1,6,Sales Workers
MSF50222,Professionals,34.8,occ_top1,2,Professionals
MSL20122,Sales Workers,37.5,occ_top1,6,Sales Workers
MSL30122,Sales Workers,27.6,occ_top1,6,Sales Workers
MSL40118,Technicians And Trades Workers,74.2,occ_top1,3,Technicians and Trades Workers
MSL40122,Technicians And Trades Workers,56.5,occ_top1,3,Technicians and Trades Workers
MSL50122,Technicians And Trades Workers,64.9,occ_top1,3,Technicians and Trades Workers
MSM30116,Labourers,34.9,occ_top1,8,Labourers
MSM40116,Technicians And Trades Workers,33.9,occ_top1,3,Technicians and Trades Workers
MST31022,Sales Workers,22.8,occ_top1,6,Sales Workers
NWP30222,Machinery Operators And Drivers,54.4,occ_top1,7,Machinery Operators and Drivers
PMA30120,Technicians And Trades Workers,53.3,occ_top1,3,Technicians and Trades Workers
PSP20218,Professionals,38.6,occ_top1,2,Professionals
PSP30218,Community And Personal Service Workers,39.1,occ_top1,4,Community and Personal Service Workers
PSP40122,Clerical And Administrative Workers,38.0,occ_top1,5,Clerical and Administrative Workers
PSP40416,Professionals,37.8,occ_top1,2,Professionals
PSP40616,Clerical And Administrative Workers,58.2,occ_top1,5,Clerical and Administrative Workers
PSP50122,Clerical And Administrative Workers,42.9,occ_top1,5,Clerical and Administrative Workers
PSP50616,Clerical And Administrative Workers,43.6,occ_top1,5,Clerical and Administrative Workers
PUA20119,Community And Personal Service Workers,25.6,occ_top1,4,Community and Personal Service Workers
PUA20622,Community And Personal Service Workers,86.2,occ_top1,4,Community and Personal Service Workers
PUA20719,Community And Personal Service Workers,20.5,occ_top1,4,Community and Personal Service Workers
PUA30622,Community And Personal Service Workers,95.0,occ_top1,4,Community and Personal Service Workers
PUA40319,Community And Personal Service Workers,85.5,occ_top1,4,Community and Personal Service Workers
RII20120,Labourers,35.5,occ_top1,8,Labourers
RII20920,Labourers,66.3,occ_top1,8,Labourers
RII30120,Machinery Operators And Drivers,87.4,occ_top1,7,Machinery Operators and Drivers
RII30719,Machinery Operators And Drivers,37.9,occ_top1,7,Machinery Operators and Drivers
RII30820,Machinery Operators And Drivers,37.4,occ_top1,7,Machinery Operators and Drivers
RII30920,Labourers,42.5,occ_top1,8,Labourers
RII31820,Machinery Operators And Drivers,78.6,occ_top1,7,Machinery Operators and Drivers
RII40720,Technicians And Trades Workers,42.3,occ_top1,3,Technicians and Trades Workers
RII60520,Technicians And Trades Workers,18.8,occ_top1,3,Technicians and Trades Workers
SFL30115,Technicians And Trades Workers,39.5,occ_top1,3,Technicians and Trades Workers
SHB20121,Sales Workers,42.1,occ_top1,6,Sales Workers
SHB20216,Technicians And Trades Workers,28.1,occ_top1,3,Technicians and Trades Workers
SHB30121,Community And Personal Service Workers,46.9,occ_top1,4,Community and Personal Service Workers
SHB30221,Sales Workers,34.5,occ_top1,6,Sales Workers
SHB30321,Community And Personal Service Workers,44.2,occ_top1,4,Community and Personal Service Workers
SHB30416,Technicians And Trades Workers,84.0,occ_top1,3,Technicians and Trades Workers
SHB30516,Technicians And Trades Workers,81.2,occ_top1,3,Technicians and Trades Workers
SHB50121,Community And Personal Service Workers,71.9,occ_top1,4,Community and Personal Service Workers
SIR20216,Sales Workers,43.2,occ_top1,6,Sales Workers
SIR30116,Sales Workers,59.0,occ_top1,6,Sales Workers
SIR30216,Sales Workers,45.1,occ_top1,6,Sales Workers
SIR40316,Managers,57.1,occ_top1,1,Managers
SIS20122,Sales Workers,31.5,occ_top1,6,Sales Workers
SIS20321,Community And Personal Service Workers,32.0,occ_top1,4,Community and Personal Service Workers
SIS20419,Sales Workers,27.0,occ_top1,6,Sales Workers
SIS30115,Community And Personal Service Workers,31.8,occ_top1,4,Community and Personal Service Workers
SIS30122,Community And Personal Service Workers,37.8,occ_top1,4,Community and Personal Service Workers
SIS30321,Community And Personal Service Workers,36.6,occ_top1,4,Community and Personal Service Workers
SIS30521,Community And Personal Service Workers,32.0,occ_top1,4,Community and Personal Service Workers
SIS40221,Community And Personal Service Workers,52.4,occ_top1,4,Community and Personal Service Workers
SIT10222,Labourers,35.8,occ_top1,8,Labourers
SIT20122,Sales Workers,33.6,occ_top1,6,Sales Workers
SIT20322,Community And Personal Service Workers,34.0,occ_top1,4,Community and Personal Service Workers
SIT20421,Labourers,26.4,occ_top1,8,Labourers
SIT30122,Community And Personal Service Workers,33.6,occ_top1,4,Community and Personal Service Workers
SIT30222,Community And Personal Service Workers,81.1,occ_top1,4,Community and Personal Service Workers
