course_id,course_name,aqf_level,foe,course_rank,small_count_flag,pct_employed_prior,pct_employed_post,pptchange_employment,pct_employed_tot_prior,pct_employed_tot_post,pctpt_change_in_tot_employment,pct_employed_pt_prior,pct_employed_pt_post,pctpt_change_in_pt_employment,pct_employed_ft_prior,pct_employed_ft_post,pctpt_change_in_ft_employment,median_income,median_income_change,median_income_total,median_income_total_change,total_ft_median_income,total_ft_median_income_change,income_support_exit_rate,pct_higher_vet_progression,pct_any_vet_progression,pct_female,pct_disability,pct_apprentice_trainees,pct_first_nations,pct_no_yr12_no_cert_iii,pct_government_funded,median_completion_age_yrs,median_completion_time_days,pct_remote,pct_regional,pct_major_city,count_of_unique_occupations,source_sheet,suppressed_value_count,has_suppressed_values,median_income_outlier_flag,median_income_change_outlier_flag,median_income_total_outlier_flag,median_income_total_change_outlier_flag,total_ft_median_income_outlier_flag,total_ft_median_income_change_outlier_flag
CHC33021,Certificate III In Individual Support,Certificate III,Society And Culture,1,False,65.0,93.0,28.0,69.0,95.0,26.0,40.0,40.0,0.0,29.0,55.0,26.0,48000.0,17400.0,49000.0,18600.0,62200.0,14700.0,53,17.0,23.0,75.0,6.0,3.0,3.0,27.0,68.0,35.0,211.0,1.0,29.0,70.0,72,qualification,0,False,False,False,False,False,False,False
BSB30120,Certificate III In Business,Certificate III,Management And Commerce,2,False,61.0,76.0,15.0,62.0,77.0,15.0,37.0,35.0,-2.0,25.0,43.0,18.0,38700.0,15600.0,38700.0,15600.0,54300.0,11200.0,28,16.0,26.0,74.0,24.0,26.0,7.0,36.0,60.0,29.0,268.0,1.0,30.0,68.0,66,qualification,0,False,False,False,False,False,False,False
TAE40122,Certificate IV In Training And Assessment,Certificate IV,Education,3,False,91.0,95.0,4.0,94.0,97.0,3.0,18.0,15.0,-3.0,76.0,81.0,5.0,87200.0,8600.0,87000.0,8800.0,94800.0,8400.0,69,6.0,21.0,53.0,4.0,0.0,2.0,10.0,25.0,43.0,276.0,2.0,28.0,70.0,79,qualification,0,False,False,False,False,False,False,False
CHC30121,Certificate III In Early Childhood Education And Care,Certificate III,Education,4,False,56.0,92.0,36.0,58.0,94.0,36.0,43.0,59.0,16.0,15.0,35.0,20.0,37800.0,19100.0,38200.0,18900.0,48100.0,12800.0,49,41.0,46.0,97.0,7.0,26.0,4.0,22.0,85.0,27.0,365.0,1.0,24.0,75.0,29,qualification,0,False,False,False,False,False,False,False
CPP20218,Certificate II In Security Operations,Certificate II,Society And Culture,5,False,72.0,89.0,17.0,78.0,93.0,15.0,24.0,19.0,-5.0,54.0,74.0,20.0,47200.0,13600.0,47600.0,14000.0,55600.0,12000.0,65,23.0,25.0,17.0,4.0,0.0,4.0,18.0,34.0,29.0,25.0,3.0,17.0,80.0,50,qualification,0,False,False,False,False,False,False,False
CHC50121,Diploma Of Early Childhood Education And Care,Diploma,Education,6,False,75.0,94.0,19.0,77.0,96.0,19.0,55.0,46.0,-9.0,22.0,50.0,28.0,47000.0,17400.0,47100.0,17600.0,54800.0,10900.0,56,1.0,12.0,97.0,4.0,22.0,3.0,9.0,82.0,31.0,568.0,1.0,22.0,77.0,18,qualification,0,False,False,False,False,False,False,False
CPC30220,Certificate III In Carpentry,Certificate III,Architecture And Building,7,False,75.0,85.0,10.0,80.0,94.0,14.0,14.0,2.0,-12.0,66.0,92.0,26.0,59700.0,33600.0,60200.0,33700.0,60800.0,31000.0,78,19.0,24.0,1.0,3.0,78.0,4.0,34.0,81.0,23.0,1069.0,1.0,28.0,71.0,11,qualification,0,False,False,False,False,False,False,False
UEE30820,Certificate III In Electrotechnology Electrician,Certificate III,Engineering And Related Technologies,8,False,84.0,96.0,12.0,86.0,98.0,12.0,17.0,1.0,-16.0,68.0,97.0,29.0,83900.0,55800.0,83600.0,54700.0,84000.0,50100.0,87,7.0,19.0,3.0,3.0,92.0,3.0,21.0,92.0,23.0,1353.0,2.0,26.0,72.0,6,qualification,0,False,False,True,False,True,False,False
HLT54121,Diploma Of Nursing,Diploma,Health,9,False,80.0,96.0,16.0,81.0,97.0,16.0,48.0,31.0,-17.0,33.0,66.0,33.0,55100.0,23400.0,55300.0,23900.0,63600.0,16300.0,57,0.0,7.0,88.0,7.0,0.0,4.0,14.0,95.0,26.0,622.0,1.0,30.0,69.0,22,qualification,0,False,False,False,False,False,False,False
CHC43121,Certificate IV In Disability Support,Certificate IV,Society And Culture,10,False,82.0,95.0,13.0,86.0,97.0,11.0,33.0,24.0,-9.0,52.0,73.0,21.0,65700.0,19900.0,67500.0,21300.0,77500.0,17700.0,61,11.0,25.0,57.0,4.0,2.0,2.0,15.0,54.0,36.0,242.0,1.0,21.0,78.0,19,qualification,0,False,False,False,False,False,False,False
