jurisdiction,aqf_level,pct_jurisdiction_total,pct_employed_prior,pct_employed_post,pptchange_employment,pct_employed_tot_prior,pct_employed_tot_post,pctpt_change_in_tot_employment,pct_employed_pt_prior,pct_employed_pt_post,pctpt_change_in_pt_employment,pct_employed_ft_prior,pct_employed_ft_post,pctpt_change_in_ft_employment,median_income,median_income_change,median_income_total,median_income_total_change,total_ft_median_income,total_ft_median_income_change,income_support_exit_rate,pct_higher_vet_progression,pct_any_vet_progression,pct_female,pct_disability,pct_apprentice_trainees,pct_first_nations,pct_no_yr12_no_cert_iii,pct_government_funded,median_completion_age_yrs,median_completion_time_days,pct_remote,pct_regional,pct_major_city,source_sheet,suppressed_value_count,has_suppressed_values,median_income_outlier_flag,median_income_change_outlier_flag,median_income_total_outlier_flag,median_income_total_change_outlier_flag,total_ft_median_income_outlier_flag,total_ft_median_income_change_outlier_flag
Nsw,Certificate I,6.0,47.0,61.0,14.0,53.0,68.0,15.0,12.0,22.0,10.0,41.0,46.0,5.0,36500.0,2400.0,36600.0,1900.0,64200.0,1300.0,24,35.0,38.0,42.0,9.0,0.0,6.0,74.0,45.0,38.0,73.0,1.0,26.0,73.0,aqf,0,False,False,False,False,False,False,False
Vic,Certificate I,2.0,25.0,46.0,21.0,26.0,47.0,21.0,11.0,28.0,17.0,15.0,19.0,4.0,9400.0,2400.0,9900.0,2700.0,10300.0,5200.0,10,54.0,64.0,54.0,46.0,0.0,3.0,60.0,74.0,21.0,289.0,0.0,19.0,81.0,aqf,0,False,False,False,False,False,False,False
Qld,Certificate I,2.0,49.0,81.0,32.0,51.0,82.0,31.0,20.0,31.0,11.0,30.0,51.0,21.0,29600.0,13400.0,30200.0,13800.0,41700.0,13400.0,43,45.0,48.0,34.0,16.0,60.0,21.0,48.0,78.0,23.0,123.0,3.0,40.0,57.0,aqf,0,False,False,False,False,False,False,False
Sa,Certificate I,2.0,19.0,68.0,49.0,21.0,68.0,47.0,8.0,38.0,30.0,13.0,29.0,16.0,14700.0,9700.0,14900.0,10000.0,18400.0,7100.0,46,49.0,53.0,51.0,11.0,0.0,8.0,79.0,38.0,17.0,88.0,3.0,12.0,85.0,aqf,0,False,False,False,False,False,False,False
Wa,Certificate I,2.0,33.0,64.0,31.0,34.0,66.0,32.0,16.0,33.0,17.0,18.0,32.0,14.0,12700.0,3500.0,12900.0,4500.0,25200.0,5100.0,16,55.0,62.0,53.0,28.0,1.0,16.0,77.0,78.0,22.0,136.0,11.0,19.0,69.0,aqf,0,False,False,False,False,False,False,False
Tas,Certificate I,3.0,62.0,77.0,15.0,63.0,77.0,14.0,13.0,20.0,7.0,47.0,57.0,10.0,47900.0,11400.0,47500.0,9000.0,65400.0,9100.0,35,47.0,51.0,30.0,20.0,6.0,7.0,40.0,91.0,29.0,108.0,4.0,93.0,3.0,aqf,0,False,False,False,False,False,False,False
Nt,Certificate I,5.0,60.0,68.0,8.0,59.0,68.0,9.0,16.0,23.0,7.0,45.0,46.0,1.0,31200.0,6800.0,31200.0,6800.0,54100.0,5600.0,23,30.0,33.0,27.0,8.0,0.0,70.0,62.0,45.0,33.0,39.0,56.0,40.0,3.0,aqf,0,False,False,False,False,False,False,False
Act,Certificate I,3.0,57.0,79.0,22.0,59.0,81.0,22.0,19.0,26.0,7.0,38.0,52.0,14.0,33500.0,12400.0,35300.0,13300.0,62100.0,12000.0,61,36.0,39.0,41.0,7.0,0.0,4.0,57.0,10.0,23.0,19.0,0.0,3.0,97.0,aqf,0,False,False,False,False,False,False,False
National,Certificate I,3.0,44.0,64.0,20.0,47.0,68.0,21.0,13.0,25.0,12.0,34.0,43.0,9.0,27600.0,4600.0,28400.0,4100.0,51600.0,3200.0,25,41.0,45.0,43.0,16.0,10.0,10.0,67.0,56.0,32.0,123.0,3.0,28.0,69.0,aqf,0,False,False,False,False,False,False,False
Nsw,Certificate II,11.0,55.0,75.0,20.0,58.0,77.0,19.0,23.0,33.0,10.0,34.0,45.0,11.0,31500.0,8500.0,31700.0,8700.0,50600.0,7300.0,37,39.0,47.0,51.0,14.0,5.0,8.0,35.0,71.0,28.0,136.0,1.0,28.0,71.0,aqf,0,False,False,False,False,False,False,False
