aqf_foe,aqf_level,foe,pct_aqf_total,small_count_flag,pct_employed_prior,pct_employed_post,pptchange_employment,pct_employed_tot_prior,pct_employed_tot_post,pctpt_change_in_tot_employment,pct_employed_pt_prior,pct_employed_pt_post,pctpt_change_in_pt_employment,pct_employed_ft_prior,pct_employed_ft_post,pctpt_change_in_ft_employment,median_income,median_income_change,median_income_total,median_income_total_change,total_ft_median_income,total_ft_median_income_change,income_support_exit_rate,pct_higher_vet_progression,pct_any_vet_progression,pct_female,pct_disability,pct_apprentice_trainees,pct_first_nations,pct_no_yr12_no_cert_iii,pct_government_funded,median_completion_age_yrs,median_completion_time_days,pct_remote,pct_regional,pct_major_city,no_of_different_occupations,cert_order,source_sheet,suppressed_value_count,has_suppressed_values,median_income_outlier_flag,median_income_change_outlier_flag,median_income_total_outlier_flag,median_income_total_change_outlier_flag,total_ft_median_income_outlier_flag,total_ft_median_income_change_outlier_flag
"Certificate I, Agriculture, Environment And Related Studies",Certificate I,"Agriculture, Environment And Related Studies",4.0,False,44.0,82.0,38.0,44.0,82.0,38.0,20.0,33.0,13.0,25.0,49.0,24.0,23400.0,14800.0,24000.0,14800.0,32400.0,11900.0,48,53.0,55.0,34.0,17.0,66.0,20.0,57.0,89.0,21.0,128.0,5.0,51.0,45.0,1,1.0,aqf_foe_nat,0,False,False,False,False,False,False,False
"Certificate I, Architecture And Building",Certificate I,Architecture And Building,31.0,False,69.0,75.0,6.0,78.0,85.0,7.0,12.0,14.0,2.0,66.0,71.0,5.0,61200.0,2000.0,56900.0,1400.0,69500.0,1300.0,49,17.0,17.0,19.0,3.0,12.0,7.0,82.0,19.0,40.0,13.0,1.0,28.0,71.0,14,1.0,aqf_foe_nat,0,False,False,False,False,False,False,False
"Certificate I, Engineering And Related Technologies",Certificate I,Engineering And Related Technologies,8.0,False,75.0,83.0,8.0,76.0,84.0,8.0,15.0,17.0,2.0,61.0,67.0,6.0,56300.0,8100.0,55800.0,8100.0,75400.0,8400.0,46,40.0,44.0,17.0,9.0,2.0,13.0,47.0,58.0,34.0,44.0,9.0,39.0,52.0,2,1.0,aqf_foe_nat,0,False,False,False,False,False,False,False
"Certificate I, Food, Hospitality And Personal Services",Certificate I,"Food, Hospitality And Personal Services",5.0,False,20.0,74.0,54.0,21.0,74.0,53.0,11.0,50.0,39.0,10.0,24.0,14.0,8800.0,8600.0,8800.0,8500.0,6800.0,0.0,26,54.0,56.0,64.0,8.0,22.0,7.0,85.0,83.0,15.0,165.0,2.0,15.0,83.0,3,1.0,aqf_foe_nat,0,False,False,False,False,False,False,False
"Certificate I, Management And Commerce",Certificate I,Management And Commerce,13.0,False,30.0,69.0,39.0,30.0,70.0,40.0,15.0,42.0,27.0,15.0,27.0,12.0,11000.0,7800.0,11300.0,7900.0,10000.0,4800.0,26,43.0,46.0,59.0,16.0,17.0,12.0,80.0,37.0,16.0,62.0,4.0,28.0,69.0,7,1.0,aqf_foe_nat,0,False,False,False,False,False,False,False
"Certificate I, Mixed Field Programmes",Certificate I,Mixed Field Programmes,34.0,False,22.0,46.0,24.0,24.0,48.0,24.0,13.0,28.0,15.0,12.0,21.0,9.0,13000.0,2800.0,14200.0,3100.0,21400.0,3100.0,15,57.0,66.0,59.0,32.0,0.0,9.0,57.0,82.0,29.0,271.0,2.0,25.0,73.0,12,1.0,aqf_foe_nat,0,False,False,False,False,False,False,False
"Certificate II, Agriculture, Environment And Related Studies",Certificate II,"Agriculture, Environment And Related Studies",3.0,False,60.0,81.0,21.0,62.0,83.0,21.0,21.0,26.0,5.0,41.0,56.0,15.0,36400.0,9000.0,36800.0,9200.0,49100.0,9700.0,49,42.0,52.0,34.0,16.0,29.0,12.0,48.0,85.0,27.0,205.0,8.0,45.0,47.0,6,2.0,aqf_foe_nat,0,False,False,False,False,False,False,False
"Certificate II, Architecture And Building",Certificate II,Architecture And Building,5.0,False,49.0,87.0,38.0,50.0,89.0,39.0,16.0,22.0,6.0,34.0,67.0,33.0,30900.0,16700.0,31000.0,16700.0,34700.0,15900.0,58,46.0,54.0,9.0,10.0,4.0,10.0,58.0,96.0,19.0,130.0,3.0,23.0,74.0,11,2.0,aqf_foe_nat,0,False,False,False,False,False,False,False
"Certificate II, Creative Arts",Certificate II,Creative Arts,1.0,False,35.0,61.0,26.0,35.0,62.0,27.0,18.0,38.0,20.0,17.0,24.0,7.0,13400.0,1000.0,13600.0,500.0,19500.0,600.0,24,50.0,58.0,64.0,21.0,0.0,22.0,60.0,65.0,24.0,297.0,2.0,28.0,68.0,1,2.0,aqf_foe_nat,0,False,False,False,False,False,False,False
"Certificate II, Engineering And Related Technologies",Certificate II,Engineering And Related Technologies,29.0,False,76.0,89.0,13.0,78.0,92.0,14.0,16.0,13.0,-3.0,62.0,79.0,17.0,53900.0,15500.0,54300.0,15600.0,62800.0,13800.0,62,34.0,40.0,12.0,6.0,7.0,8.0,36.0,64.0,27.0,114.0,4.0,31.0,64.0,73,2.0,aqf_foe_nat,0,False,False,False,False,False,False,False
