state,aqf_level,foe,aqf_foe,pct_state_aqf,small_count_flag,pct_employed_prior,pct_employed_post,pptchange_employment,pct_employed_tot_prior,pct_employed_tot_post,pctpt_change_in_tot_employment,pct_employed_pt_prior,pct_employed_pt_post,pctpt_change_in_pt_employment,pct_employed_ft_prior,pct_employed_ft_post,pctpt_change_in_ft_employment,median_income,median_income_change,median_income_total,median_income_total_change,total_ft_median_income,total_ft_median_income_change,income_support_exit_rate,pct_higher_vet_progression,pct_any_vet_progression,pct_female,pct_disability,pct_apprentice_trainees,pct_first_nations,pct_no_yr12_no_cert_iii,pct_government_funded,median_completion_age_yrs,median_completion_time_days,pct_remote,pct_regional,pct_major_city,no_of_different_occupations,source_sheet,suppressed_value_count,has_suppressed_values,median_income_outlier_flag,median_income_change_outlier_flag,median_income_total_outlier_flag,median_income_total_change_outlier_flag,total_ft_median_income_outlier_flag,total_ft_median_income_change_outlier_flag
Nsw,Certificate I,"Agriculture, Environment And Related Studies","Certificate I, Agriculture, Environment And Related Studies",1.0,True,11.0,68.0,57.0,11.0,68.0,57.0,0.0,36.0,36.0,0.0,27.0,27.0,13000.0,0.0,13000.0,0.0,0.0,0.0,,66.0,72.0,38.0,0.0,0.0,9.0,100.0,100.0,15.0,242.0,0.0,90.0,10.0,,aqf_foe_state,2,True,False,False,False,False,False,False
Nsw,Certificate I,Architecture And Building,"Certificate I, Architecture And Building",42.0,False,75.0,73.0,-2.0,85.0,85.0,0.0,11.0,12.0,1.0,75.0,73.0,-2.0,78600.0,300.0,70000.0,-400.0,80000.0,200.0,47,8.0,9.0,19.0,0.0,0.0,2.0,94.0,2.0,44.0,9.0,1.0,26.0,74.0,11,aqf_foe_state,0,False,False,False,False,False,False,False
Nsw,Certificate I,Engineering And Related Technologies,"Certificate I, Engineering And Related Technologies",6.0,False,71.0,87.0,16.0,72.0,89.0,17.0,17.0,24.0,7.0,54.0,64.0,10.0,39800.0,5500.0,40000.0,6400.0,55800.0,5600.0,48,44.0,46.0,22.0,11.0,0.0,8.0,35.0,69.0,28.0,41.0,0.0,32.0,68.0,1,aqf_foe_state,0,False,False,False,False,False,False,False
Nsw,Certificate I,"Food, Hospitality And Personal Services","Certificate I, Food, Hospitality And Personal Services",5.0,False,17.0,72.0,55.0,17.0,72.0,55.0,8.0,52.0,44.0,9.0,21.0,12.0,7000.0,7500.0,7000.0,7500.0,5100.0,0.0,,55.0,56.0,72.0,1.0,0.0,0.0,98.0,100.0,15.0,229.0,0.0,4.0,96.0,2,aqf_foe_state,1,True,False,False,False,False,False,False
Nsw,Certificate I,Management And Commerce,"Certificate I, Management And Commerce",9.0,False,22.0,63.0,41.0,21.0,64.0,43.0,9.0,39.0,30.0,14.0,24.0,10.0,8400.0,5600.0,8400.0,6200.0,6200.0,3800.0,18,42.0,47.0,63.0,13.0,0.0,9.0,92.0,37.0,15.0,50.0,0.0,38.0,62.0,2,aqf_foe_state,0,False,False,False,False,False,False,False
Nsw,Certificate I,Mixed Field Programmes,"Certificate I, Mixed Field Programmes",29.0,False,20.0,43.0,23.0,22.0,46.0,24.0,13.0,25.0,12.0,10.0,20.0,10.0,16500.0,4700.0,17200.0,4800.0,29900.0,4800.0,16,59.0,66.0,61.0,24.0,0.0,9.0,51.0,77.0,35.0,265.0,0.0,27.0,72.0,3,aqf_foe_state,0,False,False,False,False,False,False,False
Vic,Certificate I,Engineering And Related Technologies,"Certificate I, Engineering And Related Technologies",4.0,True,78.0,73.0,-5.0,78.0,80.0,2.0,12.0,18.0,6.0,62.0,72.0,10.0,106700.0,19400.0,106200.0,19300.0,112100.0,23300.0,,35.0,35.0,33.0,8.0,0.0,0.0,30.0,27.0,42.0,172.0,0.0,50.0,47.0,,aqf_foe_state,2,True,False,False,False,False,False,False
Vic,Certificate I,Management And Commerce,"Certificate I, Management And Commerce",9.0,False,15.0,67.0,52.0,15.0,67.0,52.0,8.0,47.0,39.0,8.0,22.0,14.0,7400.0,0.0,7400.0,0.0,6200.0,0.0,,54.0,54.0,63.0,15.0,0.0,0.0,96.0,0.0,15.0,53.0,0.0,0.0,96.0,,aqf_foe_state,2,True,False,False,False,False,False,False
Vic,Certificate I,Mixed Field Programmes,"Certificate I, Mixed Field Programmes",84.0,False,23.0,41.0,18.0,24.0,43.0,19.0,11.0,27.0,16.0,13.0,16.0,3.0,8800.0,1000.0,9400.0,1100.0,8700.0,1000.0,10,55.0,68.0,54.0,51.0,0.0,3.0,56.0,86.0,22.0,302.0,0.0,19.0,81.0,1,aqf_foe_state,0,False,False,False,False,False,False,False
Qld,Certificate I,"Agriculture, Environment And Related Studies","Certificate I, Agriculture, Environment And Related Studies",18.0,False,58.0,88.0,30.0,59.0,88.0,29.0,26.0,32.0,6.0,34.0,56.0,22.0,30300.0,16300.0,30300.0,15100.0,36700.0,12200.0,51,45.0,48.0,35.0,20.0,95.0,23.0,38.0,99.0,23.0,117.0,4.0,48.0,48.0,1,aqf_foe_state,0,False,False,False,False,False,False,False
Qld,Certificate I,Architecture And Building,"Certificate I, Architecture And Building",38.0,False,47.0,85.0,38.0,49.0,85.0,36.0,16.0,24.0,8.0,33.0,61.0,28.0,31400.0,15600.0,32300.0,16200.0,40000.0,15900.0,47,47.0,49.0,17.0,14.0,59.0,24.0,45.0,86.0,21.0,123.0,3.0,40.0,56.0,3,aqf_foe_state,0,False,False,False,False,False,False,False
Qld,Certificate I,Engineering And Related Technologies,"Certificate I, Engineering And Related Technologies",11.0,False,70.0,68.0,-2.0,71.0,71.0,0.0,15.0,16.0,1.0,59.0,54.0,-5.0,69200.0,4900.0,62500.0,3800.0,90200.0,8700.0,,31.0,38.0,17.0,2.0,2.0,11.0,69.0,18.0,50.0,100.0,0.0,35.0,63.0,1,aqf_foe_state,1,True,False,False,False,False,False,False
Qld,Certificate I,"Food, Hospitality And Personal Services","Certificate I, Food, Hospitality And Personal Services",9.0,False,37.0,72.0,35.0,34.0,75.0,41.0,23.0,53.0,30.0,15.0,24.0,9.0,20300.0,10300.0,19800.0,9400.0,39400.0,0.0,27,50.0,53.0,59.0,22.0,83.0,21.0,51.0,91.0,21.0,127.0,0.0,35.0,62.0,,aqf_foe_state,1,True,False,False,False,False,False,False
Qld,Certificate I,Management And Commerce,"Certificate I, Management And Commerce",17.0,False,47.0,86.0,39.0,49.0,86.0,37.0,31.0,48.0,17.0,20.0,37.0,17.0,24500.0,13300.0,25400.0,14500.0,42200.0,23300.0,32,41.0,44.0,62.0,15.0,75.0,17.0,39.0,78.0,24.0,127.0,1.0,35.0,64.0,1,aqf_foe_state,0,False,False,False,False,False,False,False
Qld,Certificate I,Mixed Field Programmes,"Certificate I, Mixed Field Programmes",7.0,False,19.0,58.0,39.0,22.0,58.0,36.0,6.0,23.0,17.0,13.0,37.0,24.0,15500.0,0.0,16500.0,0.0,20500.0,0.0,,60.0,61.0,48.0,27.0,0.0,22.0,80.0,65.0,17.0,107.0,10.0,46.0,44.0,,aqf_foe_state,2,True,False,False,False,False,False,False
