cohort_group,cohort,pct_total,pct_employed_prior,pct_employed_post,pptchange_employment,pct_employed_tot_prior,pct_employed_tot_post,pctpt_change_in_tot_employment,pct_employed_pt_prior,pct_employed_pt_post,pctpt_change_in_pt_employment,pt_prior_ft_post_pct_of_all_students,pct_employed_ft_prior,pct_employed_ft_post,pctpt_change_in_ft_employment,median_income,median_income_change,median_income_total,median_income_total_change,total_ft_median_income,total_ft_median_income_change,income_support_exit_rate,pct_higher_vet_progression,pct_any_vet_progression,pct_female,pct_disability,pct_apprentice_trainees,pct_first_nations,pct_no_yr12_no_cert_iii,pct_government_funded,median_completion_age_yrs,median_completion_time_days,pct_remote,pct_regional,pct_major_city,source_sheet,suppressed_value_count,has_suppressed_values,median_income_outlier_flag,median_income_change_outlier_flag,median_income_total_outlier_flag,median_income_total_change_outlier_flag,total_ft_median_income_outlier_flag,total_ft_median_income_change_outlier_flag
Total,All Students,100.0,72.0,88.0,16.0,75.0,90.0,15.0,27.0,27.0,0.0,13.0,48.0,63.0,15.0,51100.0,14100.0,51300.0,14400.0,65700.0,12600.0,48.0,17.0,29.0,51.0,8.0,16.0,4.0,27.0,62.0,30.0,296.0,2.0,26.0,72.0,national,0,False,False,False,False,False,False,False
Gender,Male,49.0,75.0,88.0,13.0,78.0,91.0,13.0,13.0,11.0,-2.0,9.0,65.0,80.0,15.0,62300.0,15800.0,61900.0,15900.0,68300.0,14400.0,57.0,16.0,28.0,0.0,7.0,22.0,4.0,30.0,58.0,29.0,277.0,2.0,26.0,72.0,national,0,False,False,False,False,False,False,False
Gender,Female,51.0,70.0,88.0,18.0,72.0,90.0,18.0,41.0,43.0,2.0,17.0,31.0,47.0,16.0,43600.0,12800.0,43900.0,13100.0,62900.0,9900.0,43.0,18.0,29.0,100.0,8.0,10.0,5.0,24.0,65.0,32.0,305.0,2.0,26.0,72.0,national,0,False,False,False,False,False,False,False
First Nations Status,First Nations,4.0,66.0,84.0,18.0,67.0,85.0,18.0,25.0,27.0,2.0,12.0,42.0,58.0,16.0,46800.0,15700.0,47100.0,15900.0,62000.0,14400.0,36.0,20.0,34.0,52.0,12.0,22.0,100.0,41.0,77.0,26.0,289.0,11.0,45.0,44.0,national,0,False,False,False,False,False,False,False
First Nations Status,Not First Nations,96.0,73.0,88.0,15.0,75.0,91.0,16.0,27.0,27.0,0.0,14.0,48.0,63.0,15.0,51300.0,14100.0,51500.0,14300.0,65900.0,12500.0,49.0,17.0,28.0,51.0,8.0,16.0,0.0,26.0,61.0,31.0,297.0,1.0,26.0,73.0,national,0,False,False,False,False,False,False,False
Disability Status,Disability,8.0,53.0,73.0,20.0,54.0,74.0,20.0,27.0,35.0,8.0,9.0,27.0,39.0,12.0,28400.0,10300.0,29100.0,10800.0,50600.0,11100.0,23.0,22.0,35.0,56.0,100.0,12.0,7.0,37.0,77.0,27.0,297.0,1.0,31.0,68.0,national,0,False,False,True,False,True,False,False
Disability Status,No Disability,92.0,74.0,89.0,15.0,77.0,92.0,15.0,27.0,27.0,0.0,14.0,50.0,65.0,15.0,52600.0,14400.0,52700.0,14600.0,66600.0,12700.0,55.0,17.0,28.0,51.0,0.0,16.0,4.0,26.0,60.0,31.0,296.0,2.0,26.0,72.0,national,0,False,False,False,False,False,False,False
Cald Status,Cald,22.0,60.0,82.0,22.0,65.0,86.0,21.0,27.0,30.0,3.0,13.0,38.0,56.0,18.0,48500.0,13900.0,48400.0,14000.0,63400.0,11300.0,51.0,21.0,33.0,57.0,3.0,5.0,0.0,18.0,57.0,35.0,239.0,1.0,9.0,90.0,national,0,False,False,False,False,False,False,False
Cald Status,Not Cald,77.0,76.0,90.0,14.0,78.0,92.0,14.0,27.0,26.0,-1.0,14.0,51.0,65.0,14.0,51800.0,14200.0,52200.0,14400.0,66400.0,12800.0,47.0,16.0,27.0,50.0,9.0,19.0,6.0,29.0,64.0,28.0,306.0,3.0,31.0,66.0,national,0,False,False,False,False,False,False,False
Cald Status,Unknown,1.0,65.0,77.0,12.0,69.0,81.0,13.0,22.0,21.0,-1.0,10.0,47.0,60.0,13.0,52000.0,14300.0,51200.0,14100.0,64900.0,12600.0,38.0,15.0,28.0,39.0,7.0,7.0,8.0,54.0,29.0,31.0,175.0,2.0,26.0,70.0,national,0,False,False,False,False,False,False,False
Apprentice Status,Apprentice,16.0,80.0,96.0,16.0,81.0,97.0,16.0,27.0,15.0,-12.0,20.0,54.0,83.0,29.0,58900.0,29800.0,59100.0,30200.0,64300.0,30200.0,66.0,14.0,23.0,32.0,6.0,100.0,6.0,32.0,95.0,23.0,790.0,3.0,35.0,62.0,national,0,False,False,True,False,True,False,True
Apprentice Status,Not Apprentice,84.0,71.0,86.0,15.0,74.0,89.0,15.0,27.0,30.0,3.0,12.0,47.0,60.0,13.0,48700.0,11300.0,48900.0,11600.0,66200.0,9700.0,47.0,18.0,30.0,55.0,8.0,0.0,4.0,26.0,55.0,32.0,249.0,2.0,25.0,74.0,national,0,False,False,False,False,False,False,False
Prior Year 12 Or Cert III,Prior Year 12 Or Cert III,73.0,77.0,89.0,12.0,80.0,92.0,12.0,29.0,27.0,-2.0,15.0,51.0,66.0,15.0,53800.0,14100.0,54000.0,14300.0,68000.0,12400.0,52.0,17.0,28.0,53.0,7.0,15.0,4.0,0.0,62.0,31.0,304.0,2.0,25.0,74.0,national,0,False,False,False,False,False,False,False
Prior Year 12 Or Cert III,No Prior Year 12 Or Cert III,27.0,60.0,83.0,23.0,62.0,86.0,24.0,22.0,29.0,7.0,10.0,41.0,57.0,16.0,42000.0,14300.0,42600.0,14500.0,59000.0,13400.0,39.0,18.0,30.0,46.0,11.0,19.0,7.0,100.0,62.0,27.0,269.0,2.0,31.0,67.0,national,0,False,False,False,False,False,False,False
Employed Prior To Enrolment,Employed Prior,75.0,96.0,93.0,-3.0,100.0,96.0,-4.0,36.0,24.0,-12.0,18.0,64.0,72.0,8.0,57100.0,14100.0,57200.0,14400.0,69500.0,12600.0,60.0,15.0,26.0,49.0,6.0,17.0,4.0,22.0,59.0,32.0,301.0,2.0,28.0,70.0,national,0,False,False,False,False,False,False,False
Employed Prior To Enrolment,Not Employed Prior,25.0,0.0,71.0,71.0,0.0,73.0,73.0,0.0,36.0,36.0,0.0,0.0,37.0,37.0,28100.0,0.0,28500.0,0.0,47900.0,0.0,32.0,24.0,38.0,57.0,14.0,12.0,6.0,40.0,71.0,26.0,288.0,1.0,23.0,76.0,national,0,False,False,True,False,True,False,True
Funding Type,Gov Funded,62.0,69.0,87.0,18.0,71.0,90.0,19.0,30.0,31.0,1.0,15.0,41.0,59.0,18.0,46500.0,16100.0,46900.0,16400.0,60200.0,15400.0,47.0,19.0,31.0,54.0,10.0,25.0,6.0,27.0,100.0,28.0,320.0,2.0,28.0,70.0,national,0,False,False,False,False,False,False,False
Funding Type,Non-Government,38.0,77.0,88.0,11.0,81.0,92.0,11.0,22.0,22.0,0.0,11.0,59.0,70.0,11.0,62900.0,11400.0,62200.0,11500.0,77100.0,10000.0,52.0,14.0,25.0,47.0,5.0,2.0,3.0,27.0,0.0,33.0,211.0,2.0,23.0,75.0,national,0,False,False,False,False,False,False,False
Locality,Major City,72.0,71.0,87.0,16.0,73.0,90.0,16.0,27.0,28.0,1.0,13.0,47.0,62.0,15.0,49800.0,14000.0,50000.0,14200.0,65000.0,12400.0,50.0,18.0,29.0,51.0,7.0,14.0,3.0,25.0,60.0,30.0,288.0,0.0,0.0,100.0,national,0,False,False,False,False,False,False,False
Locality,Regional,26.0,76.0,90.0,14.0,78.0,92.0,14.0,28.0,26.0,-2.0,14.0,50.0,66.0,16.0,53400.0,14500.0,53700.0,14800.0,66700.0,13000.0,44.0,15.0,27.0,52.0,9.0,22.0,8.0,31.0,66.0,30.0,317.0,0.0,100.0,0.0,national,0,False,False,False,False,False,False,False
Locality,Remote,2.0,81.0,90.0,9.0,83.0,92.0,9.0,22.0,18.0,-4.0,12.0,61.0,74.0,13.0,65300.0,14600.0,66100.0,15200.0,79000.0,14700.0,41.0,13.0,26.0,46.0,4.0,22.0,27.0,35.0,63.0,32.0,290.0,100.0,0.0,0.0,national,0,False,False,False,False,False,False,False
Socio Economic Status,1 (Most Disadvantaged),22.0,65.0,83.0,18.0,67.0,86.0,19.0,26.0,29.0,3.0,13.0,41.0,57.0,16.0,46600.0,13700.0,46800.0,13900.0,60900.0,11900.0,39.0,18.0,31.0,53.0,10.0,15.0,8.0,32.0,67.0,30.0,272.0,3.0,34.0,64.0,national,0,False,False,False,False,False,False,False
Socio Economic Status,2,22.0,72.0,88.0,16.0,75.0,91.0,16.0,28.0,28.0,0.0,14.0,47.0,63.0,16.0,51100.0,14500.0,51300.0,14700.0,64900.0,13000.0,47.0,17.0,29.0,52.0,8.0,17.0,5.0,28.0,64.0,30.0,298.0,2.0,33.0,64.0,national,0,False,False,False,False,False,False,False
Socio Economic Status,3,21.0,74.0,89.0,15.0,77.0,92.0,15.0,27.0,27.0,0.0,14.0,50.0,65.0,15.0,51800.0,14000.0,52000.0,14200.0,66300.0,12400.0,53.0,17.0,28.0,51.0,7.0,17.0,4.0,26.0,61.0,31.0,301.0,2.0,27.0,71.0,national,0,False,False,False,False,False,False,False
Socio Economic Status,4,20.0,75.0,90.0,14.0,78.0,92.0,14.0,27.0,26.0,-1.0,14.0,51.0,66.0,15.0,53200.0,14200.0,53500.0,14500.0,68400.0,12800.0,57.0,17.0,28.0,50.0,7.0,16.0,3.0,24.0,59.0,31.0,304.0,1.0,20.0,79.0,national,0,False,False,False,False,False,False,False
Socio Economic Status,5 (Least Disadvantaged),16.0,76.0,89.0,13.0,79.0,92.0,13.0,27.0,26.0,-1.0,13.0,52.0,66.0,14.0,54100.0,14300.0,54400.0,14600.0,70500.0,13200.0,61.0,17.0,27.0,50.0,7.0,15.0,2.0,22.0,56.0,31.0,303.0,1.0,13.0,86.0,national,0,False,False,False,False,False,False,False
Age Group,Under 20,14.0,46.0,88.0,42.0,46.0,88.0,42.0,25.0,43.0,18.0,12.0,21.0,46.0,25.0,25800.0,23100.0,26200.0,23500.0,41000.0,33600.0,8.0,31.0,44.0,53.0,12.0,21.0,6.0,57.0,72.0,18.0,275.0,1.0,28.0,71.0,national,0,False,False,True,False,True,True,True
Age Group,20 To 24,20.0,76.0,92.0,16.0,77.0,94.0,17.0,36.0,23.0,-13.0,24.0,41.0,70.0,29.0,49000.0,25700.0,49400.0,26000.0,57200.0,29300.0,49.0,18.0,30.0,46.0,9.0,35.0,5.0,22.0,76.0,22.0,378.0,2.0,28.0,70.0,national,0,False,False,True,False,True,False,True
Age Group,25 To 34,26.0,78.0,89.0,11.0,81.0,92.0,11.0,24.0,23.0,-1.0,13.0,57.0,69.0,12.0,58200.0,13800.0,58300.0,14000.0,70100.0,13600.0,53.0,16.0,28.0,49.0,6.0,14.0,4.0,20.0,54.0,29.0,292.0,2.0,24.0,74.0,national,0,False,False,False,False,False,False,False
Age Group,35 To 44,20.0,75.0,87.0,12.0,79.0,91.0,12.0,24.0,26.0,2.0,10.0,55.0,65.0,10.0,60900.0,9600.0,60500.0,9900.0,78000.0,8500.0,49.0,14.0,26.0,54.0,5.0,8.0,3.0,20.0,56.0,39.0,283.0,2.0,24.0,74.0,national,0,False,False,True,False,True,False,False
Age Group,45 And Over,20.0,76.0,82.0,6.0,80.0,86.0,6.0,25.0,27.0,2.0,8.0,55.0,59.0,4.0,60400.0,4200.0,59600.0,4500.0,79000.0,4400.0,42.0,11.0,21.0,56.0,9.0,6.0,3.0,28.0,56.0,52.0,260.0,2.0,30.0,68.0,national,0,False,False,True,False,True,False,True
