course_id,course_name,occupation_name,pct_share,source_sheet,anzsco_code,anzsco_occupation_title,anzsco_major_group_code,anzsco_major_group_label,anzsco_sub_major_group_code,anzsco_minor_group_code,anzsco_unit_group_code,anzsco_match_method,anzsco_match_score,anzsco_match_status,course_occupation_rank
10727NAT,Certificate I In Spoken And Written English,Unknown,25.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
10727NAT,Certificate I In Spoken And Written English,Commercial Cleaner,9.0,qual_by_occ,811211,Commercial Cleaner,8,Labourers,81,811,8112,exact,100.0,matched_exact,2
10728NAT,Certificate II In Spoken And Written English,Unknown,20.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
10728NAT,Certificate II In Spoken And Written English,Commercial Cleaner,6.0,qual_by_occ,811211,Commercial Cleaner,8,Labourers,81,811,8112,exact,100.0,matched_exact,2
10728NAT,Certificate II In Spoken And Written English,Kitchenhand,6.0,qual_by_occ,851311,Kitchenhand,8,Labourers,85,851,8513,exact,100.0,matched_exact,3
10729NAT,Certificate III In Spoken And Written English,Unknown,13.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
10729NAT,Certificate III In Spoken And Written English,Aged Or Disabled Carer,6.0,qual_by_occ,423111,Aged or Disabled Carer,4,Community and Personal Service Workers,42,423,4231,exact,100.0,matched_exact,2
10741NAT,Certificate III In Christian Ministry And Theology,Unknown,17.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
10741NAT,Certificate III In Christian Ministry And Theology,Sales Assistant (General),15.0,qual_by_occ,621111,Sales Assistant (General),6,Sales Workers,62,621,6211,exact,100.0,matched_exact,2
22316VIC,Advanced Diploma Of Myotherapy,Unknown,42.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
22472VIC,Certificate I In General Education For Adults,Unknown,25.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
22473VIC,Certificate II In General Education For Adults,Unknown,23.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
22473VIC,Certificate II In General Education For Adults,Sales Assistant (General),6.0,qual_by_occ,621111,Sales Assistant (General),6,Sales Workers,62,621,6211,exact,100.0,matched_exact,2
22477VIC,Advanced Diploma Of Building Design (Architectural),Architectural Draftsperson,26.0,qual_by_occ,312111,Architectural Draftsperson,3,Technicians and Trades Workers,31,312,3121,exact,100.0,matched_exact,1
22477VIC,Advanced Diploma Of Building Design (Architectural),Unknown,11.0,qual_by_occ,,,,,,,,,,unknown_occupation,2
22481VIC,Certificate II In Work Education,Unknown,65.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
22484VIC,Certificate I In Eal (Access),Unknown,26.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
22485VIC,Certificate II In Eal (Access),Unknown,20.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
22486VIC,Certificate III In Eal (Access),Unknown,16.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
22499VIC,Certificate II In Electrotechnology (Pre-Vocational),Electrician (General),42.0,qual_by_occ,341111,Electrician (General),3,Technicians and Trades Workers,34,341,3411,exact,100.0,matched_exact,1
22566VIC,Certificate I In Work Education,Unknown,51.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
22567VIC,Certificate I In Transition Education,Unknown,61.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
22569VIC,Certificate II In Plumbing (Pre-Apprenticeship),Plumber (General),34.0,qual_by_occ,334111,Plumber (General),3,Technicians and Trades Workers,33,334,3341,exact,100.0,matched_exact,1
22582VIC,Certificate IV In Tertiary Preparation,Unknown,17.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
22603VIC,Certificate IV In Cyber Security,Unknown,10.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
22603VIC,Certificate IV In Cyber Security,ICT Customer Support Officer,4.0,qual_by_occ,313112,ICT Customer Support Officer,3,Technicians and Trades Workers,31,313,3131,exact,100.0,matched_exact,2
22603VIC,Certificate IV In Cyber Security,ICT Security Specialist,4.0,qual_by_occ,262112,ICT Security Specialist,2,Professionals,26,262,2621,exact,100.0,matched_exact,3
22603VIC,Certificate IV In Cyber Security,ICT Support Engineer,4.0,qual_by_occ,263212,ICT Support Engineer,2,Professionals,26,263,2632,exact,100.0,matched_exact,4
22614VIC,Certificate II In Building And Construction Pre-Apprenticeship,Carpenter And Joiner,31.0,qual_by_occ,331211,Carpenter and Joiner,3,Technicians and Trades Workers,33,331,3312,exact,100.0,matched_exact,1
22614VIC,Certificate II In Building And Construction Pre-Apprenticeship,Unknown,11.0,qual_by_occ,,,,,,,,,,unknown_occupation,2
52878WA,Certificate I In Leadership,Unknown,37.0,qual_by_occ,,,,,,,,,,unknown_occupation,1
52887WA,Certificate II In Plumbing,Plumber (General),46.0,qual_by_occ,334111,Plumber (General),3,Technicians and Trades Workers,33,334,3341,exact,100.0,matched_exact,1
52893WA,Certificate II In Building And Construction (Pathway - Trades),Carpenter And Joiner,17.0,qual_by_occ,331211,Carpenter and Joiner,3,Technicians and Trades Workers,33,331,3312,exact,100.0,matched_exact,1
52895WA,Certificate IV In Preparation For Health And Nursing Studies,Aged Or Disabled Carer,16.0,qual_by_occ,423111,Aged or Disabled Carer,4,Community and Personal Service Workers,42,423,4231,exact,100.0,matched_exact,1
52895WA,Certificate IV In Preparation For Health And Nursing Studies,Unknown,9.0,qual_by_occ,,,,,,,,,,unknown_occupation,2
ACM20121,Certificate II In Animal Care,Veterinary Nurse,15.0,qual_by_occ,361311,Veterinary Nurse,3,Technicians and Trades Workers,36,361,3613,exact,100.0,matched_exact,1
ACM20121,Certificate II In Animal Care,Unknown,10.0,qual_by_occ,,,,,,,,,,unknown_occupation,2
ACM20121,Certificate II In Animal Care,Sales Assistant (General),9.0,qual_by_occ,621111,Sales Assistant (General),6,Sales Workers,62,621,6211,exact,100.0,matched_exact,3
