Code,Occupation,National Shortage Rating,Victoria Shortage Rating,Skill Level
422111,Aboriginal and Torres Strait Islander Education Worker,No shortage,No shortage,4
411511,Aboriginal and Torres Strait Islander Health Worker,Shortage,Shortage,2
141999,Accommodation and Hospitality Managers nec,No shortage,No shortage,2
221111,Accountant (General),No shortage,No shortage,1
551111,Accounts Clerk,No shortage,No shortage,4
211111,Actor,No shortage,No shortage,1
211199,"Actors, Dancers and Other Entertainers nec",No shortage,No shortage,1
224111,Actuary,Shortage,Shortage,1
252211,Acupuncturist,No shortage,No shortage,1
542112,Admissions Clerk,No shortage,No shortage,4
131113,Advertising Manager,No shortage,No shortage,1
225111,Advertising Specialist,No shortage,No shortage,1
233911,Aeronautical Engineer,Shortage,Shortage,1
231111,Aeroplane Pilot,Shortage,Shortage,1
423111,Aged or Disabled Carer,Shortage,Shortage,4
311112,Agricultural and Agritech Technician,Shortage,Shortage,2
721111,Agricultural and Horticultural Mobile Plant Operator,Regional shortage,Regional shortage,4
234111,Agricultural Consultant,Shortage,Shortage,1
233912,Agricultural Engineer,Shortage,Shortage,1
234114,Agricultural Research Scientist,Shortage,Shortage,1
234115,Agronomist,Shortage,Shortage,1
231112,Air Traffic Controller,Shortage,Shortage,1
231199,Air Transport Professionals nec,Shortage,Shortage,1
334112,Airconditioning and Mechanical Services Plumber,Shortage,Shortage,3
342111,Airconditioning and Refrigeration Mechanic,Shortage,Shortage,3
721911,Aircraft Baggage Handler and Airline Ground Crew,No shortage,No shortage,4
323111,Aircraft Maintenance Engineer (Avionics),Shortage,Shortage,3
323112,Aircraft Maintenance Engineer (Mechanical),Shortage,Shortage,3
323113,Aircraft Maintenance Engineer (Structures),Shortage,Shortage,3
733112,Aircraft Refueller,No shortage,No shortage,4
411111,Ambulance Officer,Shortage,Shortage,2
149111,Amusement Centre Manager,No shortage,No shortage,2
311211,Anaesthetic Technician,No shortage,No shortage,2
253211,Anaesthetist,Shortage,Shortage,1
261311,Analyst Programmer,No shortage,No shortage,1
361199,Animal Attendants and Trainers nec,No shortage,No shortage,4
311113,Animal Husbandry Technician,No shortage,No shortage,2
142112,Antique Dealer,No shortage,No shortage,2
121311,Apiarist,No shortage,No shortage,1
393211,Apparel Cutter,No shortage,No shortage,3
121111,Aquaculture Farmer,No shortage,No shortage,1
234116,Aquaculture or Fisheries Scientist,Shortage,Shortage,1
311114,Aquaculture or Fisheries Technician,No shortage,No shortage,2
363111,Aquaculture Supervisor,No shortage,No shortage,3
362511,Arborist,Shortage,Shortage,2
272414,Archaeologist,No shortage,No shortage,1
232111,Architect,No shortage,No shortage,1
312111,Architectural Draftsperson,No shortage,No shortage,2
312199,"Architectural, Building and Surveying Technicians nec",No shortage,No shortage,2
224211,Archivist,No shortage,No shortage,1
212311,"Art Director (Film, Television or Stage)",No shortage,No shortage,1
249211,Art Teacher (Private Tuition),No shortage,No shortage,1
212111,Artistic Director,No shortage,No shortage,1
139911,Arts Administrator or Manager,No shortage,No shortage,1
611111,Auctioneer,No shortage,No shortage,3
252711,Audiologist,Shortage,Shortage,1
212211,Author,No shortage,No shortage,1
899412,Autoglazier,Shortage,Shortage,4
731199,Automobile Drivers nec,No shortage,No shortage,4
321111,Automotive Electrician,Shortage,Shortage,3
721212,Backhoe Operator,No shortage,No shortage,4
351111,Baker,Shortage,Shortage,3
552111,Bank Worker,No shortage,No shortage,3
431111,Bar Attendant,No shortage,No shortage,4
431112,Barista,No shortage,No shortage,4
271111,Barrister,No shortage,No shortage,1
451111,Beauty Therapist,Shortage,Shortage,3
141911,Bed and Breakfast Operator,No shortage,No shortage,2
842311,Beef Cattle Farm Worker,No shortage,No shortage,4
121312,Beef Cattle Farmer,No shortage,No shortage,1
142113,Betting Agency Manager,No shortage,No shortage,2
234513,Biochemist,No shortage,No shortage,1
233913,Biomedical Engineer,Shortage,Shortage,1
311313,Biosecurity Officer,No shortage,No shortage,2
234514,Biotechnologist,No shortage,No shortage,1
322111,Blacksmith,No shortage,No shortage,3
149911,Boarding Kennel or Cattery Operator,No shortage,No shortage,2
